year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
1984,1,0,0,0,322
1984,2,14583,88,321,322
1984,3,56979,122,321,322
1984,4,24756,131,321,322
1984,max,56979,131,321,322
1985,1,1710,6,321,322
1985,2,66735,118,300,322
1985,3,118715,237,321,322
1985,4,48582,171,321,322
1985,max,118715,237,321,322
1986,1,43,1,321,322
1986,2,291,3,321,322
1986,3,15559,74,321,322
1986,4,12037,74,321,322
1986,max,15559,74,321,322
1987,1,133,2,309,322
1987,2,615,7,321,322
1987,3,75134,182,322,322
1987,4,77814,126,204,322
1987,max,77814,182,322,322
1988,1,0,0,321,322
1988,2,1035,8,321,322
1988,3,112023,190,321,322
1988,4,55262,151,321,322
1988,max,112023,190,321,322
1989,1,1788,20,321,322
1989,2,18253,79,321,322
1989,3,80700,214,321,322
1989,4,12470,151,321,322
1989,max,80700,214,321,322
1990,1,0,0,321,322
1990,2,342,3,321,322
1990,3,102153,235,321,322
1990,4,72568,199,321,322
1990,max,102153,235,321,322
1991,1,0,0,0,322
1991,2,23103,114,321,322
1991,3,0,0,0,322
1991,4,0,0,0,322
1991,max,23103,114,321,322
1992,1,0,0,57,322
1992,2,8164,58,321,322
1992,3,55118,178,321,322
1992,4,20906,81,321,322
1992,max,55118,178,321,322
1993,1,0,0,321,322
1993,2,1709,37,321,322
1993,3,11565,33,321,322
1993,4,15982,79,321,322
1993,max,15982,79,321,322
1994,1,0,0,321,322
1994,2,14630,71,321,322
1994,3,75223,160,321,322
1994,4,34062,104,321,322
1994,max,75223,160,321,322
1995,1,0,0,321,322
1995,2,555,8,321,322
1995,3,18975,69,321,322
1995,4,13168,65,322,322
1995,max,18975,69,322,322
1996,1,18,1,322,322
1996,2,655,18,322,322
1996,3,30996,77,297,322
1996,4,24020,70,204,322
1996,max,30996,77,322,322
1997,1,9119,49,322,322
1997,2,32077,121,322,322
1997,3,83006,204,322,322
1997,4,10587,124,322,322
1997,max,83006,204,322,322
1998,1,0,0,322,322
1998,2,0,0,322,322
1998,3,6098,14,318,322
1998,4,4257,65,322,322
1998,max,6098,65,322,322
1999,1,0,0,321,322
1999,2,1278,13,321,322
1999,3,60347,178,321,322
1999,4,27750,183,321,322
1999,max,60347,183,321,322
2000,1,0,0,321,322
2000,2,621,8,322,322
2000,3,70566,189,321,322
2000,4,47467,151,321,322
2000,max,70566,189,322,322
2001,1,36,1,321,322
2001,2,10396,113,321,322
2001,3,59490,171,321,322
2001,4,26121,101,321,322
2001,max,59490,171,321,322
2002,1,0,0,321,322
2002,2,2610,39,321,322
2002,3,21513,142,321,322
2002,4,4759,85,321,322
2002,max,21513,142,321,322
2003,1,0,0,322,322
2003,2,0,0,322,322
2003,3,63965,200,322,322
2003,4,51809,162,321,322
2003,max,63965,200,322,322
2004,1,10666,90,322,322
2004,2,37899,137,322,322
2004,3,111264,222,322,322
2004,4,27622,175,322,322
2004,max,111264,222,322,322
2005,1,2284,14,322,322
2005,2,3553,60,322,322
2005,3,46258,143,321,322
2005,4,27354,118,322,322
2005,max,46258,143,322,322
2006,1,0,0,322,322
2006,2,422,6,322,322
2006,3,11326,75,322,322
2006,4,4386,47,321,322
2006,max,11326,75,322,322
2007,1,0,0,321,322
2007,2,13521,83,321,322
2007,3,73433,159,322,322
2007,4,43852,141,321,322
2007,max,73433,159,322,322
2008,1,0,0,322,322
2008,2,21855,98,321,322
2008,3,107716,226,321,322
2008,4,29756,126,321,322
2008,max,107716,226,322,322
2009,1,2205,72,322,322
2009,2,12262,160,322,322
2009,3,131221,259,321,322
2009,4,28588,253,322,322
2009,max,131221,259,322,322
2010,1,0,0,321,322
2010,2,33,2,321,322
2010,3,29693,166,321,322
2010,4,12901,126,322,322
2010,max,29693,166,322,322
2011,1,3678,70,322,322
2011,2,201,8,322,322
2011,3,7970,47,321,322
2011,4,3580,40,322,322
2011,max,7970,70,322,322
2012,1,0,0,321,322
2012,2,0,0,316,322
2012,3,41396,117,322,322
2012,4,21724,110,322,322
2012,max,41396,117,322,322
2013,1,232,7,322,322
2013,2,27948,118,322,322
2013,3,56112,206,322,322
2013,4,20098,136,322,322
2013,max,56112,206,322,322
2014,1,0,0,322,322
2014,2,9,1,322,322
2014,3,23041,128,322,322
2014,4,1331,59,322,322
2014,max,23041,128,322,322
2015,1,0,0,322,322
2015,2,2523,72,322,322
2015,3,24237,141,322,322
2015,4,5230,75,322,322
2015,max,24237,141,322,322
2016,1,0,0,322,322
2016,2,1093,16,322,322
2016,3,35839,164,322,322
2016,4,16059,138,322,322
2016,max,35839,164,322,322
2017,1,92,4,322,322
2017,2,0,0,322,322
2017,3,34171,186,322,322
2017,4,28847,192,322,322
2017,max,34171,192,322,322
2018,1,667,13,322,322
2018,2,19596,177,322,322
2018,3,129619,314,322,322
2018,4,26367,263,322,322
2018,max,129619,314,322,322
2019,1,0,0,322,322
2019,2,0,0,322,322
2019,3,2254,52,322,322
2019,4,1397,40,322,322
2019,max,2254,52,322,322
2020,1,64,3,322,322
2020,2,1457,35,322,322
2020,3,24662,122,322,322
2020,4,16420,128,322,322
2020,max,24662,128,322,322
2021,1,0,0,322,322
2021,2,13670,138,322,322
2021,3,85142,209,322,322
2021,4,20295,166,322,322
2021,max,85142,209,322,322
2022,1,0,0,322,322
2022,2,8706,118,322,322
2022,3,44241,187,322,322
2022,4,21072,168,322,322
2022,max,44241,187,322,322
2023,1,0,0,322,322
2023,2,0,0,322,322
2023,3,1081,18,322,322
2023,4,138,12,322,322
2023,max,1081,18,322,322
2024,1,0,0,322,322
2024,2,0,0,322,322
2024,3,1451,25,322,322
2024,4,438,13,322,322
2024,max,1451,25,322,322
