"","year","variable","value"
"1",1980,"enso",0.33
"2",1980.08333333333,"enso",0.2
"3",1980.16666666667,"enso",0.39
"4",1980.25,"enso",0.51
"5",1980.33333333333,"enso",0.45
"6",1980.41666666667,"enso",0.55
"7",1980.5,"enso",0.47
"8",1980.58333333333,"enso",0.03
"9",1980.66666666667,"enso",0.12
"10",1980.75,"enso",0.02
"11",1980.83333333333,"enso",-0.07
"12",1980.91666666667,"enso",-0.12
"13",1981,"enso",-0.36
"14",1981.08333333333,"enso",-0.23
"15",1981.16666666667,"enso",0.33
"16",1981.25,"enso",0.43
"17",1981.33333333333,"enso",-0.24
"18",1981.41666666667,"enso",-0.7
"19",1981.5,"enso",-0.61
"20",1981.58333333333,"enso",-0.34
"21",1981.66666666667,"enso",-0.07
"22",1981.75,"enso",-0.16
"23",1981.83333333333,"enso",-0.27
"24",1981.91666666667,"enso",-0.19
"25",1982,"enso",-0.43
"26",1982.08333333333,"enso",-0.49
"27",1982.16666666667,"enso",-0.27
"28",1982.25,"enso",-0.36
"29",1982.33333333333,"enso",-0.12
"30",1982.41666666667,"enso",0.62
"31",1982.5,"enso",1.65
"32",1982.58333333333,"enso",1.91
"33",1982.66666666667,"enso",1.69
"34",1982.75,"enso",1.78
"35",1982.83333333333,"enso",2.14
"36",1982.91666666667,"enso",2.37
"37",1983,"enso",2.48
"38",1983.08333333333,"enso",2.68
"39",1983.16666666667,"enso",2.61
"40",1983.25,"enso",2.76
"41",1983.33333333333,"enso",2.86
"42",1983.41666666667,"enso",1.98
"43",1983.5,"enso",0.63
"44",1983.58333333333,"enso",-0.17
"45",1983.66666666667,"enso",-0.49
"46",1983.75,"enso",-0.53
"47",1983.83333333333,"enso",-0.47
"48",1983.91666666667,"enso",-0.5
"49",1984,"enso",-0.54
"50",1984.08333333333,"enso",-0.56
"51",1984.16666666667,"enso",-0.16
"52",1984.25,"enso",0.07
"53",1984.33333333333,"enso",-0.45
"54",1984.41666666667,"enso",-0.66
"55",1984.5,"enso",-0.34
"56",1984.58333333333,"enso",-0.2
"57",1984.66666666667,"enso",-0.14
"58",1984.75,"enso",-0.19
"59",1984.83333333333,"enso",-0.58
"60",1984.91666666667,"enso",-0.28
"61",1985,"enso",-0.25
"62",1985.08333333333,"enso",-0.58
"63",1985.16666666667,"enso",-0.6
"64",1985.25,"enso",-0.76
"65",1985.33333333333,"enso",-1.23
"66",1985.41666666667,"enso",-0.67
"67",1985.5,"enso",-0.1
"68",1985.58333333333,"enso",-0.49
"69",1985.66666666667,"enso",-0.56
"70",1985.75,"enso",-0.08
"71",1985.83333333333,"enso",-0.06
"72",1985.91666666667,"enso",-0.42
"73",1986,"enso",-0.4
"74",1986.08333333333,"enso",-0.34
"75",1986.16666666667,"enso",-0.4
"76",1986.25,"enso",-0.53
"77",1986.33333333333,"enso",-0.26
"78",1986.41666666667,"enso",0.01
"79",1986.5,"enso",0.41
"80",1986.58333333333,"enso",0.97
"81",1986.66666666667,"enso",1.29
"82",1986.75,"enso",0.56
"83",1986.83333333333,"enso",0.64
"84",1986.91666666667,"enso",1.06
"85",1987,"enso",1.03
"86",1987.08333333333,"enso",1.16
"87",1987.16666666667,"enso",1.57
"88",1987.25,"enso",1.74
"89",1987.33333333333,"enso",1.96
"90",1987.41666666667,"enso",2.07
"91",1987.5,"enso",1.88
"92",1987.58333333333,"enso",1.46
"93",1987.66666666667,"enso",1.26
"94",1987.75,"enso",1.18
"95",1987.83333333333,"enso",0.9
"96",1987.91666666667,"enso",0.79
"97",1988,"enso",0.63
"98",1988.08333333333,"enso",0.33
"99",1988.16666666667,"enso",0.17
"100",1988.25,"enso",-0.01
"101",1988.33333333333,"enso",-0.39
"102",1988.41666666667,"enso",-1.17
"103",1988.5,"enso",-1.78
"104",1988.58333333333,"enso",-1.81
"105",1988.66666666667,"enso",-1.8
"106",1988.75,"enso",-1.59
"107",1988.83333333333,"enso",-1.7
"108",1988.91666666667,"enso",-1.55
"109",1989,"enso",-1.12
"110",1989.08333333333,"enso",-1.1
"111",1989.16666666667,"enso",-1.24
"112",1989.25,"enso",-1.09
"113",1989.33333333333,"enso",-1.03
"114",1989.41666666667,"enso",-0.99
"115",1989.5,"enso",-1.08
"116",1989.58333333333,"enso",-0.66
"117",1989.66666666667,"enso",-0.53
"118",1989.75,"enso",-0.49
"119",1989.83333333333,"enso",-0.36
"120",1989.91666666667,"enso",-0.07
"121",1990,"enso",0.13
"122",1990.08333333333,"enso",0.45
"123",1990.16666666667,"enso",0.61
"124",1990.25,"enso",0.17
"125",1990.33333333333,"enso",0.08
"126",1990.41666666667,"enso",0.05
"127",1990.5,"enso",0.13
"128",1990.58333333333,"enso",0.02
"129",1990.66666666667,"enso",0.22
"130",1990.75,"enso",-0.07
"131",1990.83333333333,"enso",0.12
"132",1990.91666666667,"enso",0.31
"133",1991,"enso",0.19
"134",1991.08333333333,"enso",0.08
"135",1991.16666666667,"enso",0.2
"136",1991.25,"enso",0.2
"137",1991.33333333333,"enso",0.35
"138",1991.41666666667,"enso",0.97
"139",1991.5,"enso",0.91
"140",1991.58333333333,"enso",0.37
"141",1991.66666666667,"enso",0.54
"142",1991.75,"enso",0.97
"143",1991.83333333333,"enso",1.04
"144",1991.91666666667,"enso",1.23
"145",1992,"enso",1.68
"146",1992.08333333333,"enso",1.58
"147",1992.16666666667,"enso",1.71
"148",1992.25,"enso",1.97
"149",1992.33333333333,"enso",1.68
"150",1992.41666666667,"enso",1.51
"151",1992.5,"enso",0.62
"152",1992.58333333333,"enso",-0.02
"153",1992.66666666667,"enso",0.4
"154",1992.75,"enso",0.67
"155",1992.83333333333,"enso",0.62
"156",1992.91666666667,"enso",0.73
"157",1993,"enso",0.79
"158",1993.08333333333,"enso",0.89
"159",1993.16666666667,"enso",0.77
"160",1993.25,"enso",0.98
"161",1993.33333333333,"enso",1.47
"162",1993.41666666667,"enso",1.51
"163",1993.5,"enso",0.9
"164",1993.58333333333,"enso",0.6
"165",1993.66666666667,"enso",0.61
"166",1993.75,"enso",0.96
"167",1993.83333333333,"enso",0.7
"168",1993.91666666667,"enso",0.27
"169",1994,"enso",-0.01
"170",1994.08333333333,"enso",-0.21
"171",1994.16666666667,"enso",-0.23
"172",1994.25,"enso",0.01
"173",1994.33333333333,"enso",-0.03
"174",1994.41666666667,"enso",0.25
"175",1994.5,"enso",0.96
"176",1994.58333333333,"enso",0.87
"177",1994.66666666667,"enso",1.1
"178",1994.75,"enso",1.52
"179",1994.83333333333,"enso",1.01
"180",1994.91666666667,"enso",0.91
"181",1995,"enso",0.82
"182",1995.08333333333,"enso",0.54
