"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"2",1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"3",2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
"4",3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12
"5",4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11
"6",5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10
"7",6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9
"8",7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8
"9",8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7
"10",9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6
"11",10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5
"12",11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4
"13",12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3
"14",13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2
"15",14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1
"16",15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
