"","36_00","lat_36_00000","lat_36_00900","lat_36_01800","lat_36_02700","lat_36_03600","lat_36_04500","lat_36_05399","lat_36_06299","lat_36_07199","lat_36_08099","lat_36_08999","lat_36_09899","lat_36_10799","lat_36_11698","lat_36_12598","lat_36_13498","lat_36_14398","lat_36_15298","lat_36_16198","lat_36_17098","lat_36_17997","lat_36_18897","lat_36_19797","lat_36_20697","lat_36_21597","lat_36_22496","lat_36_23396","lat_36_24296","lat_36_25196","lat_36_26096","lat_36_26995","lat_36_27895","lat_36_28795","lat_36_29695","lat_36_30595","lat_36_31494","lat_36_32394","lat_36_33294","lat_36_34194","lat_36_35093","lat_36_35993","lat_36_36893","lat_36_37793","lat_36_38692","lat_36_39592","lat_36_40492","lat_36_41391","lat_36_42291","lat_36_43191","lat_36_44091","lat_36_44990"
"36_00",0,138.786782451251,140.663822213994,142.661825684296,144.082268583127,145.074773799121,146.112445285729,147.296795099337,148.334806444056,149.603166180653,150.657532095464,151.874970279312,152.665570253083,153.622558510752,155.021882503711,156.281956300654,157.314172525514,158.628008098358,159.834995764832,161.302163046418,162.81223927522,164.117823165946,166.15966430048,167.675774521826,169.319016907079,171.316638776922,173.244828682491,176.311625100787,177.491222640714,178.779174460309,180.089909031525,181.613497054232,182.725106512258,184.167092627418,185.22444639623,186.446385642946,187.052057135015,187.735448520101,188.390421992266,189.156004208611,190.039999529581,190.966539160593,191.713581004298,192.431110263784,193.185604283186,194.078320976524,195.119890732904,195.941488037032,197.024862878254,197.866214286898,198.751649503587,259.965037360572
"lat_36_00000",138.786782451251,0,1.92643730853696,3.98572289085181,5.36849497302992,6.3089286358958,7.32798827906491,8.54265967215904,9.56529676464363,10.8423843883837,11.9109970943828,13.17074917188,14.0123777406192,15.0252227016154,16.4161542868979,17.688241960267,18.765736326285,20.0829019557282,21.3090763886423,22.7548479451241,24.2408030264796,25.5446750360308,27.5599925682706,29.0367255595868,30.6421968330347,32.5997787191082,34.4993695714712,37.5328439278382,38.7125483791642,39.9992161639109,41.31215502775,42.8345287556212,43.9519899826767,45.3938907793085,46.4586447436324,47.689366664919,48.3215137506804,49.0368415639772,49.7363168117601,50.5430165939546,51.4473519373676,52.4289653216576,53.2244483434857,53.9994649099162,54.8382164126118,55.7721676517452,56.8477981564722,57.7338022659894,58.8466645126897,59.7513219016789,60.697865107275,124.536159728792
"lat_36_00900",140.663822213994,1.92643730853696,0,2.05951314066273,3.44750425966559,4.41156991034096,5.45477078805538,6.74023930374734,7.73936874166076,9.02026156276157,10.096429203348,11.3770363187453,12.238945642803,13.2685410049001,14.6491598561893,15.9196711768869,17.0066464527997,18.3194960881192,19.5464101456114,20.9820018361313,22.457839442892,23.7582965272862,25.7631851073587,27.2277773878036,28.8212989332203,30.7654320611917,32.6541043053206,35.6703727264238,36.8499094267844,38.1353794973278,39.44964719621,40.9709277863079,42.0917306632058,43.5333146696058,44.6013775398079,45.8353116616748,46.475673399594,47.1988585608087,47.9075446097458,48.72154864947,49.6289325033131,50.6188688760172,51.4210568863021,52.2035464639559,53.0525957886572,53.9908480478309,55.0696263676192,55.9622375132637,57.077380092276,57.9880123708965,58.9400006131475,122.896617519868
"lat_36_01800",142.661825684296,3.98572289085181,2.05951314066273,0,1.42153783408157,2.45148483408932,3.53546475015977,4.94291125093216,5.88008609385819,7.15349282577454,8.23331535335308,9.53811657355218,10.4254855880467,11.4738040094013,12.8327419049679,14.0961186101027,15.1926663495778,16.4958091009516,17.7207162202162,19.1397345221662,20.5996982089549,21.8938498852752,23.8828295069411,25.3303391798662,26.9072425742778,28.832921904147,30.7067107780911,33.6999036480142,34.8789230780193,36.1625582968168,37.4782293108348,38.997811052111,40.1226223284064,41.5635387851749,42.635565573276,43.8732983181872,44.5237672833596,45.2565420758533,45.9764335295502,46.7992249916222,47.7101411632191,48.7100082970977,49.5201623809405,50.3115237995072,51.1728027306164,52.1160079741312,53.1983140199456,54.0986342751518,55.2162471087035,56.1338028419613,57.0920593991174,121.177168466451
"lat_36_02700",144.082268583127,5.36849497302992,3.44750425966559,1.42153783408157,0,1.06235744498961,2.1531563616887,3.62208931660274,4.50854640770732,5.77105305229851,6.84877159288078,8.16077504279811,9.05745999868131,10.1119174623202,11.458710499805,12.7174493661228,13.8166686475599,15.1147514793223,16.3379749151347,17.7500864455115,19.2039984248018,20.4956811911904,22.479345974611,23.9219378630536,25.4946534860464,27.4164645560366,29.2878128951036,32.2786989056671,33.4576817954605,34.741222845992,36.0569494149303,37.5764492337742,38.7014449951345,40.1423172026305,41.2145726510142,42.4525742777136,43.1040120938327,43.8379864087187,44.5595844682035,45.3839097101586,46.2954715761395,47.2973224344236,48.1091938791317,48.9025932476553,49.7668836245709,50.7113419382904,51.7945414041951,52.6969298258787,53.8151829592618,54.734668582255,55.6947114832176,119.821928303542
"lat_36_03600",145.074773799121,6.3089286358958,4.41156991034096,2.45148483408932,1.06235744498961,0,1.09139626229821,2.57029628927013,3.4465312669669,4.71141713169884,5.79002615248087,7.10034454573932,7.99568347649373,9.0497250026282,10.3979477492777,11.6577256638507,12.7564160044489,14.0557609904728,15.2795144452279,16.6941199567567,18.1509901872167,19.4441542241507,21.4316576653552,22.8789289725611,24.4569992934914,26.3858105497975,28.2637629530707,31.2669297996722,32.4462700187022,33.7309578223742,35.0458937747271,36.5664585442815,37.6891336140898,39.1304361254679,40.2004862455412,41.4364736492545,42.0828579434651,42.8125085609961,43.5295510978739,44.3506504715248,45.2610164829718,46.2596535486478,47.0691603437673,47.8601260041022,48.7213756373831,49.6647242356231,50.74718037755,51.6479796579392,52.7657768070203,53.6839706984947,54.6429239862137,118.759754488236
"lat_36_04500",146.112445285729,7.32798827906491,5.45477078805538,3.53546475015977,2.1531563616887,1.09139626229821,0,1.5218830439106,2.3553958439058,3.62075441933553,4.69985088079965,6.0091452282443,6.90437684741419,7.95883200317948,9.30661767796821,10.566750792182,11.6652221428626,12.965109351748,14.1891298762979,15.6052709658122,17.0642384688989,18.3584926631225,20.3489924805437,21.8001252761765,23.3827619029452,25.3176989682786,27.2015276714228,30.2158380283515,31.3954053647846,32.6810559116905,33.9951492351343,35.5165944548956,36.6370394201878,38.078651620459,39.1466081389649,40.3806861500689,41.0224481036767,41.7481888975841,42.4611749767796,43.2794379686194,44.1887498356796,45.1846229188647,45.9921300003944,46.781074412121,47.6398606456854,48.5823238439927,49.664190542055,50.5637632550689,51.6812086010288,52.5984368928446,53.5565948344327,117.668803457287
"lat_36_05399",147.296795099337,8.54265967215904,6.74023930374734,4.94291125093216,3.62208931660274,2.57029628927013,1.5218830439106,0,1.05340734889695,2.30637161698345,3.3686323918958,4.6370143148286,5.50256821632088,6.54129306186359,7.91344038710234,9.18245966596344,10.2729220740502,11.583085210288,12.8097886454359,14.2424042962547,15.7176748541405,17.0184978967289,19.0260438930479,20.4966977575067,22.099610561523,24.0588534750769,25.9638256865019,29.0148612767657,30.1944401192393,31.4824959464672,32.7931380929579,34.3167036078736,35.4293626748507,36.8713939452229,37.9320292668701,39.1592716804356,39.7848795780708,40.4963203647343,41.193784150258,42.0005925085461,42.9053840019812,43.8893348629694,44.6877810730373,45.4671255471847,46.3134425063886,47.2510651096754,48.3295583938235,49.2220163428311,50.3372399595584,51.2484055394053,52.2012589350902,116.234961457621
"lat_36_06299",148.334806444056,9.56529676464363,7.73936874166076,5.88008609385819,4.50854640770732,3.4465312669669,2.3553958439058,1.05340734889695,0,1.28096524430122,2.35912052712576,3.6580426924248,4.54926729224338,5.60349511571524,6.95350872093266,8.21604364373322,9.31302795592125,10.6157737323121,11.8408740995768,13.2629443886849,14.7290193213795,16.026587734749,18.0260647099353,19.4884138998767,21.0837894984435,23.0352496360899,24.9344397949705,27.9772401234359,29.1569078189508,30.4445729551036,31.7559971432701,33.2792247977035,34.3935629515771,35.835581711301,36.8978754278672,38.126755359143,38.7564403084651,39.471890440051,40.1741517605069,40.9848341614009,41.8912576518297,42.8796795039234,43.6817553259223,44.4651732739156,45.3171546065127,46.257117113847,47.3372945809151,48.2333822400052,49.3497939610958,50.2642323774855,51.2200585082526,115.313413692397
"lat_36_07199",149.603166180653,10.8423843883837,9.02026156276157,7.15349282577454,5.77105305229851,4.71141713169884,3.62075441933553,2.30637161698345,1.28096524430122,0,1.07999602002883,2.39043250308274,3.29537434875923,4.35632330557816,5.68856253473974,6.94643626458417,8.04570237468557,9.34438333789208,10.5683953111497,11.9864790215767,13.4500245929103,14.7468915526644,16.7453067238075,18.2075186263378,19.8037631968394,21.7574004805764,23.659331159459,26.7084907189531,27.8880686261979,29.1761309769428,30.4867715829483,32.0103321356804,33.1230969804076,34.5651289478933,35.6260433555905,36.8537096340958,37.4808961814188,38.194489426642,38.8951436842512,39.7049285227941,40.6110674957455,41.5989495175323,42.4008220390698,43.18423098267,44.0365377905973,44.9767352639105,46.057113706348,46.9537299183973,48.0703355195647,48.9853801800546,49.9418293953623,114.057334948589
