"","lat_34_40","lat_34_60","lat_35_00","lat_35_20","lat_35_40","lat_35_60","lat_35_80","lat_36_00","lat_36_20","lat_36_40","lat_36_60","lat_36_80","lat_37_00","lat_37_40","lat_37_80"
"lat_34_40",0,55.1136670055552,96.3414387208507,108.957912983487,140.428233270006,170.222107611763,197.960117544171,226.022746010434,254.88021569485,279.384341468378,288.817610321791,327.435113696733,350.292269416206,398.433750545546,456.85668185236
"lat_34_60",55.1136670055552,0,55.4909977323239,64.9498596949678,97.2671049813994,125.102988642826,152.346037153572,180.049700531088,208.483856961336,233.367205862403,243.926691863743,283.583287926224,305.312207969792,354.166713235298,412.512650676804
"lat_35_00",96.3414387208507,55.4909977323239,0,13.3394147306361,44.1613776194887,73.8824140942882,101.619426364288,129.681754423522,158.542128111581,183.051193639627,192.627689362885,231.557262002327,254.14227573673,302.502039145257,360.942365217456
"lat_35_20",108.957912983487,64.9498596949678,13.3394147306361,0,32.4606991380052,61.4859958111645,89.1906451226224,117.232757701686,146.043529546172,170.676096248204,180.536616333749,219.742685996952,242.061020579728,290.599879516555,349.030701922327
"lat_35_40",140.428233270006,97.2671049813994,44.1613776194887,32.4606991380052,0,30.0642615502941,57.6812129954879,85.7044880785525,114.580096647551,138.974569880572,148.466376061337,187.455015395201,209.981292709251,258.373639978125,316.813238196834
"lat_35_60",170.222107611763,125.102988642826,73.8824140942882,61.4859958111645,30.0642615502941,0,27.7388033312708,55.8015854944024,84.6598572252521,109.208549026672,119.107474008985,158.531040892383,180.619492596834,229.26481973331,287.674203555541
"lat_35_80",197.960117544171,152.346037153572,101.619426364288,89.1906451226224,57.6812129954879,27.7388033312708,0,28.0628395785509,56.9263486221612,81.4855468950219,91.5979140802428,131.282178606462,153.057015310401,201.828801915466,260.199437240369
"lat_36_00",226.022746010434,180.049700531088,129.681754423522,117.232757701686,85.7044880785525,55.8015854944024,28.0628395785509,0,28.8756623602308,53.4603478448229,63.9857965459515,103.999988044675,125.263960052226,174.184663486879,232.480672702892
"lat_36_20",254.88021569485,208.483856961336,158.542128111581,146.043529546172,114.580096647551,84.6598572252521,56.9263486221612,28.8756623602308,0,24.9299842286903,36.79078290304,76.9766934595501,97.0955701198632,146.199184477025,204.309212806257
"lat_36_40",279.384341468378,233.367205862403,183.051193639627,170.676096248204,138.974569880572,109.208549026672,81.4855468950219,53.4603478448229,24.9299842286903,0,13.7400397047663,52.7336737470157,72.176147614331,121.299478680967,179.380375420411
"lat_36_60",288.817610321791,243.926691863743,192.627689362885,180.536616333749,148.466376061337,119.107474008985,91.5979140802428,63.9857965459515,36.79078290304,13.7400397047663,0,40.2304239725824,61.5259322834635,110.240818223756,168.601697473484
"lat_36_80",327.435113696733,283.583287926224,231.557262002327,219.742685996952,187.455015395201,158.531040892383,131.282178606462,103.999988044675,76.9766934595501,52.7336737470157,40.2304239725824,0,24.8478588292367,71.0027724472214,129.422430403606
"lat_37_00",350.292269416206,305.312207969792,254.14227573673,242.061020579728,209.981292709251,180.619492596834,153.057015310401,125.263960052226,97.0955701198632,72.176147614331,61.5259322834635,24.8478588292367,0,49.1602274940848,107.237642580141
"lat_37_40",398.433750545546,354.166713235298,302.502039145257,290.599879516555,258.373639978125,229.26481973331,201.828801915466,174.184663486879,146.199184477025,121.299478680967,110.240818223756,71.0027724472214,49.1602274940848,0,58.440333510171
"lat_37_80",456.85668185236,412.512650676804,360.942365217456,349.030701922327,316.813238196834,287.674203555541,260.199437240369,232.480672702892,204.309212806257,179.380375420411,168.601697473484,129.422430403606,107.237642580141,58.440333510171,0
