year,variable,testing,horizon,forecast,fold
2024,lat_36_08549,-4.570638202445716,1.0,-4.810439866326492,1
2024,lat_36_08999,-2.35061012151384,1.0,-4.972963887841321,1
2024,lat_36_09449,-4.131525879912678,1.0,-5.7615846974694565,1
2024,lat_36_09899,-2.83589196644073,1.0,-4.301859150215009,1
2024,lat_36_10349,-1.4747877520406367,1.0,-1.5047852514268216,1
2024,lat_36_10799,-2.1482707752286765,1.0,-3.0132483787581386,1
2024,lat_36_11249,-2.8035553859912135,1.0,-2.29995150866767,1
2024,lat_36_11698,-4.004044632110705,1.0,-5.311918358635691,1
2024,lat_36_12148,-4.329941574607597,1.0,-4.69254575042426,1
2024,lat_36_12598,-3.852776147384812,1.0,-4.504156199831438,1
2024,lat_36_13048,-4.13453748503702,1.0,-4.989190057868208,1
2023,lat_36_08549,-4.290162188035178,1.0,-1.351167468580366,2
2024,lat_36_08549,-4.570638202445716,2.0,-1.3662957134554568,2
2023,lat_36_08999,-4.22999702779643,1.0,-4.291380644502806,2
2024,lat_36_08999,-2.35061012151384,2.0,-4.64810020471204,2
2023,lat_36_09449,-4.492649052801522,1.0,-4.015737774135213,2
2024,lat_36_09449,-4.131525879912678,2.0,-4.032855749876615,2
2023,lat_36_09899,-3.933099084921099,1.0,-3.344691198197387,2
2024,lat_36_09899,-2.83589196644073,2.0,-2.690308052328605,2
2023,lat_36_10349,-1.8232250088059292,1.0,-0.7060745332277267,2
2024,lat_36_10349,-1.4747877520406367,2.0,-0.4438546424729583,2
2023,lat_36_10799,-2.3729764004840987,1.0,-2.3530979390810867,2
2024,lat_36_10799,-2.1482707752286765,2.0,-2.618455748081946,2
2023,lat_36_11249,-2.3496358237800443,1.0,-1.182071641975883,2
2024,lat_36_11249,-2.8035553859912135,2.0,-0.8416854799532977,2
2023,lat_36_11698,-4.605170185988091,1.0,-3.045272894948573,2
2024,lat_36_11698,-4.004044632110705,2.0,-2.8737174652572683,2
2023,lat_36_12148,-4.498476789270406,1.0,-1.5733003877235772,2
2024,lat_36_12148,-4.329941574607597,2.0,-1.6253003944734072,2
2023,lat_36_12598,-4.261077997597968,1.0,-1.1472616144933787,2
2024,lat_36_12598,-3.852776147384812,2.0,-0.8344867418834326,2
2023,lat_36_13048,-4.252929512739863,1.0,-2.488725899093061,2
2024,lat_36_13048,-4.13453748503702,2.0,-2.0233823744586616,2
2022,lat_36_08549,-1.1929081182347607,1.0,-1.233699413407305,3
2023,lat_36_08549,-4.290162188035178,2.0,-1.137117486632554,3
2024,lat_36_08549,-4.570638202445716,3.0,-1.0268346503693289,3
2022,lat_36_08999,-3.9056189665983982,1.0,-3.915917191138841,3
2023,lat_36_08999,-4.22999702779643,2.0,-3.1102309586467944,3
2024,lat_36_08999,-2.35061012151384,3.0,-2.314933594746434,3
2022,lat_36_09449,-2.8562656756034253,1.0,-4.635836267904236,3
2023,lat_36_09449,-4.492649052801522,2.0,-5.61885974719004,3
2024,lat_36_09449,-4.131525879912678,3.0,-5.352171553919634,3
2022,lat_36_09899,-3.947217868200645,1.0,-5.760288296692172,3
2023,lat_36_09899,-3.933099084921099,2.0,-6.072496846538267,3
2024,lat_36_09899,-2.83589196644073,3.0,-6.136505082410634,3
2022,lat_36_10349,-1.4573428428085486,1.0,-5.229559131135508,3
2023,lat_36_10349,-1.8232250088059292,2.0,-4.80183059937641,3
2024,lat_36_10349,-1.4747877520406367,3.0,-4.460801227412729,3
2022,lat_36_10799,-1.7635637092174457,1.0,-5.246664522040901,3
2023,lat_36_10799,-2.3729764004840987,2.0,-4.869627460245648,3
2024,lat_36_10799,-2.1482707752286765,3.0,-4.6285184520949425,3
2022,lat_36_11249,-1.3905000356666306,1.0,-4.206651457307202,3
2023,lat_36_11249,-2.3496358237800443,2.0,-3.92958034401889,3
2024,lat_36_11249,-2.8035553859912135,3.0,-3.774322619924869,3
2022,lat_36_11698,-2.7931933374976934,1.0,-3.764843028161817,3
2023,lat_36_11698,-4.605170185988091,2.0,-3.6364252627142233,3
2024,lat_36_11698,-4.004044632110705,3.0,-3.550486221712756,3
2022,lat_36_12148,-2.014888701031007,1.0,-1.9528661724870013,3
2023,lat_36_12148,-4.498476789270406,2.0,-1.136169743147929,3
2024,lat_36_12148,-4.329941574607597,3.0,-0.8610430316602793,3
2022,lat_36_12598,-1.786417682123372,1.0,-2.718197665428973,3
2023,lat_36_12598,-4.261077997597968,2.0,-2.3430794678674682,3
2024,lat_36_12598,-3.852776147384812,3.0,-1.8397955414751308,3
2022,lat_36_13048,-2.919342556067837,1.0,-4.0539740884223,3
2023,lat_36_13048,-4.252929512739863,2.0,-3.9328417229495196,3
2024,lat_36_13048,-4.13453748503702,3.0,-3.8378505893667887,3
2021,lat_36_08549,-1.5333531309772477,1.0,-0.7537238536852193,4
2022,lat_36_08549,-1.1929081182347607,2.0,-0.746446395583056,4
2023,lat_36_08549,-4.290162188035178,3.0,-0.756353814317304,4
2024,lat_36_08549,-4.570638202445716,4.0,-0.77273348126047,4
2021,lat_36_08999,-4.5200079797018455,1.0,-1.7560595225858546,4
2022,lat_36_08999,-3.9056189665983982,2.0,-1.573787007162093,4
2023,lat_36_08999,-4.22999702779643,3.0,-1.386648938721342,4
2024,lat_36_08999,-2.35061012151384,4.0,-0.9574997370543833,4
2021,lat_36_09449,-3.0436224605093134,1.0,-1.7130937191120224,4
2022,lat_36_09449,-2.8562656756034253,2.0,-1.8781316084479935,4
2023,lat_36_09449,-4.492649052801522,3.0,-2.7595507729549382,4
2024,lat_36_09449,-4.131525879912678,4.0,-2.817060091457176,4
2021,lat_36_09899,-4.605170185988091,1.0,-2.26532255150288,4
2022,lat_36_09899,-3.947217868200645,2.0,-1.982395935551049,4
2023,lat_36_09899,-3.933099084921099,3.0,-2.014033145327441,4
2024,lat_36_09899,-2.83589196644073,4.0,-2.1764669088570407,4
2021,lat_36_10349,-3.036719092619263,1.0,-1.6529591953011062,4
2022,lat_36_10349,-1.4573428428085486,2.0,-1.975346823047628,4
2023,lat_36_10349,-1.8232250088059292,3.0,-1.9806973291563297,4
2024,lat_36_10349,-1.4747877520406367,4.0,-2.069313036365711,4
2021,lat_36_10799,-3.3237005823553085,1.0,-1.3759292463981851,4
2022,lat_36_10799,-1.7635637092174457,2.0,-1.4282098141540358,4
2023,lat_36_10799,-2.3729764004840987,3.0,-1.5337362232449867,4
2024,lat_36_10799,-2.1482707752286765,4.0,-1.6328775688136057,4
2021,lat_36_11249,-3.1618076864327787,1.0,-1.4526128710399053,4
2022,lat_36_11249,-1.3905000356666306,2.0,-1.202087033187264,4
2023,lat_36_11249,-2.3496358237800443,3.0,-1.1648633301567233,4
2024,lat_36_11249,-2.8035553859912135,4.0,-1.2214877721725088,4
2021,lat_36_11698,-3.804831970999918,1.0,-1.5431809750096621,4
2022,lat_36_11698,-2.7931933374976934,2.0,-1.74541488841297,4
2023,lat_36_11698,-4.605170185988091,3.0,-1.787938255117931,4
2024,lat_36_11698,-4.004044632110705,4.0,-1.4239248535772753,4
2021,lat_36_12148,-2.87501688415025,1.0,-1.719224033165406,4
2022,lat_36_12148,-2.014888701031007,2.0,-2.20306660269779,4
2023,lat_36_12148,-4.498476789270406,3.0,-2.8591814857673996,4
2024,lat_36_12148,-4.329941574607597,4.0,-2.7182774875383187,4
2021,lat_36_12598,-2.40023022445066,1.0,-1.900930134673726,4
2022,lat_36_12598,-1.786417682123372,2.0,-1.629418132444103,4
2023,lat_36_12598,-4.261077997597968,3.0,-1.894175973934477,4
2024,lat_36_12598,-3.852776147384812,4.0,-2.2133212123763926,4
2021,lat_36_13048,-3.7274502089592016,1.0,-2.895841613827362,4
2022,lat_36_13048,-2.919342556067837,2.0,-2.8463050573760778,4
2023,lat_36_13048,-4.252929512739863,3.0,-2.7006109666304003,4
2024,lat_36_13048,-4.13453748503702,4.0,-2.677445832650614,4
2020,lat_36_08549,-0.9215409768076366,1.0,-1.0613979632310095,5
2021,lat_36_08549,-1.5333531309772477,2.0,-1.015928585089247,5
2022,lat_36_08549,-1.1929081182347607,3.0,-1.003882435115513,5
2023,lat_36_08549,-4.290162188035178,4.0,-0.9728197505580809,5
2024,lat_36_08549,-4.570638202445716,5.0,-0.9890376327403541,5
2020,lat_36_08999,-1.8735547825828502,1.0,-2.080836608180337,5
2021,lat_36_08999,-4.5200079797018455,2.0,-2.028752027748155,5
2022,lat_36_08999,-3.9056189665983982,3.0,-1.9504534958254662,5
2023,lat_36_08999,-4.22999702779643,4.0,-1.9785714296041341,5
2024,lat_36_08999,-2.35061012151384,5.0,-1.8072071901811884,5
2020,lat_36_09449,-1.8590870634473216,1.0,-2.0893611272330244,5
2021,lat_36_09449,-3.0436224605093134,2.0,-2.1725646590821297,5
2022,lat_36_09449,-2.8562656756034253,3.0,-2.3230786824392444,5
2023,lat_36_09449,-4.492649052801522,4.0,-2.4689967434615645,5
2024,lat_36_09449,-4.131525879912678,5.0,-2.5758461106736643,5
2020,lat_36_09899,-1.7996749613045864,1.0,-1.6269520679399057,5
2021,lat_36_09899,-4.605170185988091,2.0,-1.7400088985381426,5
2022,lat_36_09899,-3.947217868200645,3.0,-1.8974534661254991,5
2023,lat_36_09899,-3.933099084921099,4.0,-1.9599123982402067,5
2024,lat_36_09899,-2.83589196644073,5.0,-1.9972637615583473,5
2020,lat_36_10349,-0.7703877753974254,1.0,-0.8366546260324492,5
2021,lat_36_10349,-3.036719092619263,2.0,-0.8947398327154655,5
2022,lat_36_10349,-1.4573428428085486,3.0,-1.0068406438957895,5
2023,lat_36_10349,-1.8232250088059292,4.0,-1.0791138331603114,5
2024,lat_36_10349,-1.4747877520406367,5.0,-1.2113229673619175,5
2020,lat_36_10799,-1.3458682756582796,1.0,-1.1580752552032154,5
2021,lat_36_10799,-3.3237005823553085,2.0,-1.1346505692377271,5
2022,lat_36_10799,-1.7635637092174457,3.0,-1.1854204236891348,5
2023,lat_36_10799,-2.3729764004840987,4.0,-1.1903201671041852,5
2024,lat_36_10799,-2.1482707752286765,5.0,-1.262378174783414,5
2020,lat_36_11249,-1.4092484672186958,1.0,-1.0079306834395507,5
2021,lat_36_11249,-3.1618076864327787,2.0,-0.9682327033551423,5
2022,lat_36_11249,-1.3905000356666306,3.0,-0.9695578083169861,5
2023,lat_36_11249,-2.3496358237800443,4.0,-0.9745312844942975,5
2024,lat_36_11249,-2.8035553859912135,5.0,-0.9232869165823722,5
2020,lat_36_11698,-0.5885853245359539,1.0,-1.292553922345344,5
2021,lat_36_11698,-3.804831970999918,2.0,-1.3514826964376314,5
2022,lat_36_11698,-2.7931933374976934,3.0,-1.4447054547567042,5
2023,lat_36_11698,-4.605170185988091,4.0,-1.547167945574705,5
2024,lat_36_11698,-4.004044632110705,5.0,-1.5718015202219926,5
2020,lat_36_12148,-1.5651309574357808,1.0,-1.284705716322604,5
2021,lat_36_12148,-2.87501688415025,2.0,-1.2577066064527866,5
2022,lat_36_12148,-2.014888701031007,3.0,-1.264274624113162,5
2023,lat_36_12148,-4.498476789270406,4.0,-1.2282881591993229,5
2024,lat_36_12148,-4.329941574607597,5.0,-1.1773830721858296,5
2020,lat_36_12598,-2.346413680915321,1.0,-1.6073724766587936,5
2021,lat_36_12598,-2.40023022445066,2.0,-1.3351226959247717,5
2022,lat_36_12598,-1.786417682123372,3.0,-1.2637013686776801,5
2023,lat_36_12598,-4.261077997597968,4.0,-1.2763362571696542,5
2024,lat_36_12598,-3.852776147384812,5.0,-1.2335921203577522,5
2020,lat_36_13048,-3.282913954279421,1.0,-3.1269101390180283,5
2021,lat_36_13048,-3.7274502089592016,2.0,-2.493766071602035,5
2022,lat_36_13048,-2.919342556067837,3.0,-2.3225372041109713,5
2023,lat_36_13048,-4.252929512739863,4.0,-2.0151318259209186,5
