year,variable,testing,horizon,forecast,fold
2024,lat_36_07649,-4.394155471828453,1.0,-2.64551538562599,1
2024,lat_36_08099,-4.591911314967573,1.0,-2.7639276688129595,1
2024,lat_36_08549,-4.570638202445716,1.0,-2.5034595549181002,1
2024,lat_36_08999,-2.35061012151384,1.0,-3.8813544577297887,1
2024,lat_36_09449,-4.131525879912678,1.0,-3.484783187437453,1
2024,lat_36_09899,-2.83589196644073,1.0,-3.62791590477828,1
2024,lat_36_10349,-1.4747877520406367,1.0,-1.937405027142366,1
2024,lat_36_10799,-2.1482707752286765,1.0,-2.343954507092115,1
2024,lat_36_11249,-2.8035553859912135,1.0,-2.2818468635902036,1
2024,lat_36_11698,-4.004044632110705,1.0,-2.942313296147143,1
2023,lat_36_07649,-4.442082308595242,1.0,-1.5449449715278596,2
2024,lat_36_07649,-4.394155471828453,2.0,-1.5654399192658355,2
2023,lat_36_08099,-4.504645830575255,1.0,-1.5605775431827946,2
2024,lat_36_08099,-4.591911314967573,2.0,-1.5797941263865365,2
2023,lat_36_08549,-4.290162188035178,1.0,-1.2878195308158769,2
2024,lat_36_08549,-4.570638202445716,2.0,-1.3002783842750663,2
2023,lat_36_08999,-4.22999702779643,1.0,-2.997720484705235,2
2024,lat_36_08999,-2.35061012151384,2.0,-3.037131627041327,2
2023,lat_36_09449,-4.492649052801522,1.0,-2.3838290100824024,2
2024,lat_36_09449,-4.131525879912678,2.0,-2.383637771330781,2
2023,lat_36_09899,-3.933099084921099,1.0,-2.7340215807949457,2
2024,lat_36_09899,-2.83589196644073,2.0,-2.780208951528306,2
2023,lat_36_10349,-1.8232250088059292,1.0,-1.524742124531761,2
2024,lat_36_10349,-1.4747877520406367,2.0,-1.5501962261430209,2
2023,lat_36_10799,-2.3729764004840987,1.0,-1.8944588612408113,2
2024,lat_36_10799,-2.1482707752286765,2.0,-1.9251823720584897,2
2023,lat_36_11249,-2.3496358237800443,1.0,-1.7263814537539868,2
2024,lat_36_11249,-2.8035553859912135,2.0,-1.754176536938464,2
2023,lat_36_11698,-4.605170185988091,1.0,-1.9336614788506288,2
2024,lat_36_11698,-4.004044632110705,2.0,-1.9321406027815005,2
2022,lat_36_07649,-1.7248053085867976,1.0,-1.4454569895303973,3
2023,lat_36_07649,-4.442082308595242,2.0,-1.4620363235299034,3
2024,lat_36_07649,-4.394155471828453,3.0,-1.4778739965459728,3
2022,lat_36_08099,-1.728399079468159,1.0,-1.4799769611038192,3
2023,lat_36_08099,-4.504645830575255,2.0,-1.4965406960728849,3
2024,lat_36_08099,-4.591911314967573,3.0,-1.51247193271649,3
2022,lat_36_08549,-1.1929081182347607,1.0,-1.3069385885531137,3
2023,lat_36_08549,-4.290162188035178,2.0,-1.3201264006961173,3
2024,lat_36_08549,-4.570638202445716,3.0,-1.3332697484348353,3
2022,lat_36_08999,-3.9056189665983982,1.0,-2.6578116093527435,3
2023,lat_36_08999,-4.22999702779643,2.0,-2.6888753054359564,3
2024,lat_36_08999,-2.35061012151384,3.0,-2.718671756678751,3
2022,lat_36_09449,-2.8562656756034253,1.0,-2.2180152681243563,3
2023,lat_36_09449,-4.492649052801522,2.0,-2.2086111195909788,3
2024,lat_36_09449,-4.131525879912678,3.0,-2.1992200621007316,3
2022,lat_36_09899,-3.947217868200645,1.0,-2.2701151401777375,3
2023,lat_36_09899,-3.933099084921099,2.0,-2.3026937577894238,3
2024,lat_36_09899,-2.83589196644073,3.0,-2.3335525593237643,3
2022,lat_36_10349,-1.4573428428085486,1.0,-1.502485203261202,3
2023,lat_36_10349,-1.8232250088059292,2.0,-1.526535761717631,3
2024,lat_36_10349,-1.4747877520406367,3.0,-1.5493008833537834,3
2022,lat_36_10799,-1.7635637092174457,1.0,-1.8779028427784825,3
2023,lat_36_10799,-2.3729764004840987,2.0,-1.9074268719676526,3
2024,lat_36_10799,-2.1482707752286765,3.0,-1.9353176110794532,3
2022,lat_36_11249,-1.3905000356666306,1.0,-1.7802421438873084,3
2023,lat_36_11249,-2.3496358237800443,2.0,-1.8088995414060223,3
2024,lat_36_11249,-2.8035553859912135,3.0,-1.8359776874032474,3
2022,lat_36_11698,-2.7931933374976934,1.0,-1.6585493734163033,3
2023,lat_36_11698,-4.605170185988091,2.0,-1.6490582378220093,3
2024,lat_36_11698,-4.004044632110705,3.0,-1.639590196230449,3
2021,lat_36_07649,-1.973023066800013,1.0,-1.2297717181285819,4
2022,lat_36_07649,-1.7248053085867976,2.0,-1.2343005223117804,4
2023,lat_36_07649,-4.442082308595242,3.0,-1.2386913115905351,4
2024,lat_36_07649,-4.394155471828453,4.0,-1.2429145281024063,4
2021,lat_36_08099,-2.0576585315268705,1.0,-1.2684704639328357,4
2022,lat_36_08099,-1.728399079468159,2.0,-1.2755052617454459,4
2023,lat_36_08099,-4.504645830575255,3.0,-1.2823435268221075,4
2024,lat_36_08099,-4.591911314967573,4.0,-1.2889247250906248,4
2021,lat_36_08549,-1.5333531309772477,1.0,-1.233176217799566,4
2022,lat_36_08549,-1.1929081182347607,2.0,-1.2437215381141853,4
2023,lat_36_08549,-4.290162188035178,3.0,-1.2540706526322383,4
2024,lat_36_08549,-4.570638202445716,4.0,-1.264229176033483,4
2021,lat_36_08999,-4.5200079797018455,1.0,-2.0474365054951393,4
2022,lat_36_08999,-3.9056189665983982,2.0,-2.0586895949914905,4
2023,lat_36_08999,-4.22999702779643,3.0,-2.069669966616653,4
2024,lat_36_08999,-2.35061012151384,4.0,-2.0802635559033167,4
2021,lat_36_09449,-3.0436224605093134,1.0,-1.9142766412584713,4
2022,lat_36_09449,-2.8562656756034253,2.0,-1.8857227739412727,4
2023,lat_36_09449,-4.492649052801522,3.0,-1.857826208964103,4
2024,lat_36_09449,-4.131525879912678,4.0,-1.8312060757705808,4
2021,lat_36_09899,-4.605170185988091,1.0,-1.4964109855196484,4
2022,lat_36_09899,-3.947217868200645,2.0,-1.5012163688027766,4
2023,lat_36_09899,-3.933099084921099,3.0,-1.5059014558590655,4
2024,lat_36_09899,-2.83589196644073,4.0,-1.510436364336468,4
2021,lat_36_10349,-3.036719092619263,1.0,-1.0161718236632105,4
2022,lat_36_10349,-1.4573428428085486,2.0,-1.0250952564412734,4
2023,lat_36_10349,-1.8232250088059292,3.0,-1.0338125603888815,4
2024,lat_36_10349,-1.4747877520406367,4.0,-1.0423302246199413,4
2021,lat_36_10799,-3.3237005823553085,1.0,-1.383162361252674,4
2022,lat_36_10799,-1.7635637092174457,2.0,-1.3934952174199164,4
2023,lat_36_10799,-2.3729764004840987,3.0,-1.4036233034516408,4
2024,lat_36_10799,-2.1482707752286765,4.0,-1.4134088606393993,4
2021,lat_36_11249,-3.1618076864327787,1.0,-1.3149596620989252,4
2022,lat_36_11249,-1.3905000356666306,2.0,-1.326674193876958,4
2023,lat_36_11249,-2.3496358237800443,3.0,-1.3379188500137325,4
2024,lat_36_11249,-2.8035553859912135,4.0,-1.348517512678724,4
2021,lat_36_11698,-3.804831970999918,1.0,-1.0103592023673025,4
2022,lat_36_11698,-2.7931933374976934,2.0,-0.9834031061773735,4
2023,lat_36_11698,-4.605170185988091,3.0,-0.9570958192759471,4
2024,lat_36_11698,-4.004044632110705,4.0,-0.9314383916583638,4
2020,lat_36_07649,-1.6293347927711677,1.0,-1.109022892543292,5
2021,lat_36_07649,-1.973023066800013,2.0,-1.1120346779076056,5
2022,lat_36_07649,-1.7248053085867976,3.0,-1.114949404710775,5
2023,lat_36_07649,-4.442082308595242,4.0,-1.1177531586170886,5
2024,lat_36_07649,-4.394155471828453,5.0,-1.1204340700214142,5
2020,lat_36_08099,-1.5150984394472757,1.0,-1.1910149914366637,5
2021,lat_36_08099,-2.0576585315268705,2.0,-1.1970545941266935,5
2022,lat_36_08099,-1.728399079468159,3.0,-1.2029649935278803,5
2023,lat_36_08099,-4.504645830575255,4.0,-1.2087496914105798,5
2024,lat_36_08099,-4.591911314967573,5.0,-1.2144120617807552,5
2020,lat_36_08549,-0.9215409768076366,1.0,-1.310143662921283,5
2021,lat_36_08549,-1.5333531309772477,2.0,-1.322439308201582,5
2022,lat_36_08549,-1.1929081182347607,3.0,-1.3345026125298782,5
2023,lat_36_08549,-4.290162188035178,4.0,-1.3463406748577438,5
2024,lat_36_08549,-4.570638202445716,5.0,-1.3579602766017669,5
2020,lat_36_08999,-1.8735547825828502,1.0,-2.079120633682253,5
2021,lat_36_08999,-4.5200079797018455,2.0,-2.0918270730120936,5
2022,lat_36_08999,-3.9056189665983982,3.0,-2.1041777844015894,5
2023,lat_36_08999,-4.22999702779643,4.0,-2.1160202806548196,5
2024,lat_36_08999,-2.35061012151384,5.0,-2.1272195645453866,5
2020,lat_36_09449,-1.8590870634473216,1.0,-1.9755867497750819,5
2021,lat_36_09449,-3.0436224605093134,2.0,-1.9489491923442313,5
2022,lat_36_09449,-2.8562656756034253,3.0,-1.922581836163539,5
2023,lat_36_09449,-4.492649052801522,4.0,-1.896568691016512,5
2024,lat_36_09449,-4.131525879912678,5.0,-1.8713978337028059,5
2020,lat_36_09899,-1.7996749613045864,1.0,-1.3949068026047198,5
2021,lat_36_09899,-4.605170185988091,2.0,-1.3977653055632988,5
2022,lat_36_09899,-3.947217868200645,3.0,-1.4005680709910668,5
2023,lat_36_09899,-3.933099084921099,4.0,-1.4033037007995062,5
2024,lat_36_09899,-2.83589196644073,5.0,-1.40596166727313,5
2020,lat_36_10349,-0.7703877753974254,1.0,-1.0695408184940287,5
2021,lat_36_10349,-3.036719092619263,2.0,-1.0791320878893915,5
2022,lat_36_10349,-1.4573428428085486,3.0,-1.0884928002616727,5
2023,lat_36_10349,-1.8232250088059292,4.0,-1.0976305699855793,5
2024,lat_36_10349,-1.4747877520406367,5.0,-1.1065526617828036,5
2020,lat_36_10799,-1.3458682756582796,1.0,-1.3693653683263034,5
2021,lat_36_10799,-3.3237005823553085,2.0,-1.3792706508623487,5
2022,lat_36_10799,-1.7635637092174457,3.0,-1.3889957351634272,5
2023,lat_36_10799,-2.3729764004840987,4.0,-1.398449130591595,5
2024,lat_36_10799,-2.1482707752286765,5.0,-1.407503081257765,5
2020,lat_36_11249,-1.4092484672186958,1.0,-1.2700919702974474,5
2021,lat_36_11249,-3.1618076864327787,2.0,-1.2811673371639316,5
2022,lat_36_11249,-1.3905000356666306,3.0,-1.2920246918378078,5
2023,lat_36_11249,-2.3496358237800443,4.0,-1.3026104303458448,5
2024,lat_36_11249,-2.8035553859912135,5.0,-1.312771147022634,5
2020,lat_36_11698,-0.5885853245359539,1.0,-1.1496876111879677,5
2021,lat_36_11698,-3.804831970999918,2.0,-1.1245947768787499,5
2022,lat_36_11698,-2.7931933374976934,3.0,-1.100078580417554,5
2023,lat_36_11698,-4.605170185988091,4.0,-1.07613958655391,5
2024,lat_36_11698,-4.004044632110705,5.0,-1.052777692258053,5
2019,lat_36_07649,-1.7620794340350519,1.0,-0.9511204283857234,6
2020,lat_36_07649,-1.6293347927711677,2.0,-0.9514854577500562,6
2021,lat_36_07649,-1.973023066800013,3.0,-0.9518402871777989,6
2022,lat_36_07649,-1.7248053085867976,4.0,-0.952185195209962,6
2023,lat_36_07649,-4.442082308595242,5.0,-0.9525204705777058,6
2024,lat_36_07649,-4.394155471828453,6.0,-0.9528463781302408,6
2019,lat_36_08099,-1.1963940569704066,1.0,-1.2005012864706095,6
2020,lat_36_08099,-1.5150984394472757,2.0,-1.2057467641686386,6
2021,lat_36_08099,-2.0576585315268705,3.0,-1.2108781587897135,6
2022,lat_36_08099,-1.728399079468159,4.0,-1.2158985113672425,6
2023,lat_36_08099,-4.504645830575255,5.0,-1.220810766242751,6
2024,lat_36_08099,-4.591911314967573,6.0,-1.225617755453697,6
2019,lat_36_08549,-1.0115671284653545,1.0,-1.393555303174584,6
2020,lat_36_08549,-0.9215409768076366,2.0,-1.4061483555039511,6
