year,variable,testing,horizon,forecast,fold
2024,lat_36_00450,-3.711739310440754,1.0,-3.177178189182312,1
2024,lat_36_00900,-4.44226481911977,1.0,-3.156347760596004,1
2024,lat_36_01350,-4.077544439710155,1.0,-2.9655793444909246,1
2024,lat_36_01800,-3.5222565345618033,1.0,-2.7794660085383827,1
2024,lat_36_02250,-2.84738933434102,1.0,-3.3560497924959503,1
2024,lat_36_02700,-2.85846095690616,1.0,-3.7677700671634184,1
2024,lat_36_03150,-3.991514232083815,1.0,-4.064384073390592,1
2024,lat_36_03600,-3.031866402768856,1.0,-4.342748220494869,1
2024,lat_36_04050,-3.780850722879246,1.0,-3.936621671245135,1
2024,lat_36_04500,-4.208334314372091,1.0,-4.902694521331898,1
2024,lat_36_05849,-4.605170185988091,1.0,-5.430140753554938,1
2024,lat_36_06299,-4.605170185988091,1.0,-5.116706866332901,1
2024,lat_36_06749,-2.7419420806699843,1.0,-3.2670939115793827,1
2024,lat_36_07199,-3.043781772032634,1.0,-3.2731005522061385,1
2024,lat_36_07649,-4.394155471828453,1.0,-3.7981169640753696,1
2024,lat_36_08099,-4.591911314967573,1.0,-4.108344188977342,1
2024,lat_36_08549,-4.570638202445716,1.0,-3.928584900499463,1
2024,lat_36_08999,-2.35061012151384,1.0,-4.51812623462772,1
2024,lat_36_09449,-4.131525879912678,1.0,-4.368485019981227,1
2024,lat_36_09899,-2.83589196644073,1.0,-4.170604467363374,1
2024,lat_36_10349,-1.4747877520406367,1.0,-2.828461452609528,1
2024,lat_36_10799,-2.1482707752286765,1.0,-3.3449531238458396,1
2024,lat_36_11249,-2.8035553859912135,1.0,-3.4464945751175757,1
2024,lat_36_11698,-4.004044632110705,1.0,-4.207413436994107,1
2024,lat_36_12148,-4.329941574607597,1.0,-4.1017416591555955,1
2024,lat_36_12598,-3.852776147384812,1.0,-3.9974074349162163,1
2024,lat_36_13048,-4.13453748503702,1.0,-4.0053534151828964,1
2024,lat_36_13498,-3.9919892525283913,1.0,-3.83194923898863,1
2024,lat_36_13948,-2.685241233885117,1.0,-3.1396054291127276,1
2024,lat_36_14398,-4.227818740555305,1.0,-4.0933063637740625,1
2024,lat_36_14848,-3.824756992308279,1.0,-3.860700635900333,1
