year,variable,testing,horizon,forecast,fold
2024,lat_36_00450,-3.711739310440754,1.0,-3.573688519764317,1
2024,lat_36_00900,-4.44226481911977,1.0,-3.3225406095591596,1
2024,lat_36_01350,-4.077544439710155,1.0,-3.359213058230284,1
2024,lat_36_01800,-3.5222565345618033,1.0,-3.241088776502303,1
2024,lat_36_02250,-2.84738933434102,1.0,-3.9245184483346955,1
2024,lat_36_02700,-2.85846095690616,1.0,-4.238932173643725,1
2024,lat_36_03150,-3.991514232083815,1.0,-4.701437095403489,1
2024,lat_36_03600,-3.031866402768856,1.0,-4.911128701514888,1
2024,lat_36_04050,-3.780850722879246,1.0,-4.015806326779432,1
2024,lat_36_04500,-4.208334314372091,1.0,-4.6889133650474335,1
2024,lat_36_05849,-4.605170185988091,1.0,-5.740880594343751,1
2024,lat_36_06299,-4.605170185988091,1.0,-4.546521790878242,1
2024,lat_36_06749,-2.7419420806699843,1.0,-3.4965305288309687,1
2024,lat_36_07199,-3.043781772032634,1.0,-3.425609683303275,1
2024,lat_36_07649,-4.394155471828453,1.0,-4.124349735189465,1
2024,lat_36_08099,-4.591911314967573,1.0,-4.372329386170526,1
2024,lat_36_08549,-4.570638202445716,1.0,-3.767969712481568,1
2024,lat_36_08999,-2.35061012151384,1.0,-4.705035084769783,1
2024,lat_36_09449,-4.131525879912678,1.0,-4.746422822398013,1
2024,lat_36_09899,-2.83589196644073,1.0,-4.39018147841996,1
2024,lat_36_10349,-1.4747877520406367,1.0,-2.7883474449195043,1
2024,lat_36_10799,-2.1482707752286765,1.0,-3.323214567914698,1
2024,lat_36_11249,-2.8035553859912135,1.0,-3.1795782399033667,1
2024,lat_36_11698,-4.004044632110705,1.0,-4.24946324194442,1
2024,lat_36_12148,-4.329941574607597,1.0,-4.3746049365839434,1
2024,lat_36_12598,-3.852776147384812,1.0,-4.236936318633981,1
2024,lat_36_13048,-4.13453748503702,1.0,-4.246721358804768,1
2024,lat_36_13498,-3.9919892525283913,1.0,-4.1122090463915395,1
2024,lat_36_13948,-2.685241233885117,1.0,-2.782113047353438,1
2024,lat_36_14398,-4.227818740555305,1.0,-4.420538812647007,1
2024,lat_36_14848,-3.824756992308279,1.0,-4.0418926935417,1
2024,lat_36_15298,-4.380598550103056,1.0,-4.006409285419689,1
2024,lat_36_15748,-4.411102366634724,1.0,-4.358556650809515,1
2024,lat_36_16198,-3.303133866835818,1.0,-3.34878648975524,1
