year,variable,testing,horizon,forecast,fold
2024,x,-2.48993769905682,1.0,-1.456774642650928,1
2023,x,-3.38640908102908,1.0,-0.9546218695142201,2
2024,x,-2.48993769905682,2.0,-0.9551405378514907,2
2022,x,-0.190856431133403,1.0,-0.9817648891022767,3
2023,x,-3.38640908102908,2.0,-0.9820146120004455,3
2024,x,-2.48993769905682,3.0,-0.9820149052817836,3
2021,x,-0.430062379477202,1.0,-1.0086923963330705,4
2022,x,-0.190856431133403,2.0,-1.0054580495351662,4
2023,x,-3.38640908102908,3.0,-1.00545181162915,4
2024,x,-2.48993769905682,4.0,-1.005451802004327,4
2020,x,-1.46465325863626,1.0,-1.031096637590116,5
2021,x,-0.430062379477202,2.0,-1.009590304329484,5
2022,x,-0.190856431133403,3.0,-1.0095882716937743,5
2023,x,-3.38640908102908,4.0,-1.0095882877870903,5
2024,x,-2.48993769905682,5.0,-1.009588274149572,5
2019,x,-2.80518295443834,1.0,-0.9426988273051304,6
2020,x,-1.46465325863626,2.0,-0.9427785663622954,6
2021,x,-0.430062379477202,3.0,-0.9427785797969322,6
2022,x,-0.190856431133403,4.0,-0.9427785429657852,6
2023,x,-3.38640908102908,5.0,-0.942778580601093,6
2024,x,-2.48993769905682,6.0,-0.9427785612320548,6
2018,x,-0.314491370857987,1.0,-0.9671659156637259,7
2019,x,-2.80518295443834,2.0,-0.967075498002169,7
2020,x,-1.46465325863626,3.0,-0.9670754858700535,7
2021,x,-0.430062379477202,4.0,-0.9670755425080666,7
2022,x,-0.190856431133403,5.0,-0.9670754865026949,7
2023,x,-3.38640908102908,6.0,-0.9670755612849335,7
2024,x,-2.48993769905682,7.0,-0.9670754882653408,7
2017,x,-1.4010753226767,1.0,-0.9495345737432709,8
2018,x,-0.314491370857987,2.0,-0.9495537057662794,8
2019,x,-2.80518295443834,3.0,-0.9495536330165583,8
2020,x,-1.46465325863626,4.0,-0.9495537067037637,8
2021,x,-0.430062379477202,5.0,-0.949553648628149,8
2022,x,-0.190856431133403,6.0,-0.949553707823073,8
2023,x,-3.38640908102908,7.0,-0.9495536734417948,8
2024,x,-2.48993769905682,8.0,-0.9495537091459316,8
2016,x,-0.764743743296572,1.0,-0.9573363451139221,9
2017,x,-1.4010753226767,2.0,-0.957308904536958,9
2018,x,-0.314491370857987,3.0,-0.9573089266453312,9
2019,x,-2.80518295443834,4.0,-0.9573088990469883,9
2020,x,-1.46465325863626,5.0,-0.9573089092260385,9
2021,x,-0.430062379477202,6.0,-0.9573089042207902,9
2022,x,-0.190856431133403,7.0,-0.9573089309686561,9
2023,x,-3.38640908102908,8.0,-0.9573088991249149,9
2024,x,-2.48993769905682,9.0,-0.9573089100260262,9
2015,x,-1.14194304957435,1.0,-0.9516015631117382,10
2016,x,-0.764743743296572,2.0,-0.9494575081454463,10
2017,x,-1.4010753226767,3.0,-0.9494571945577903,10
2018,x,-0.314491370857987,4.0,-0.9494572038988345,10
2019,x,-2.80518295443834,5.0,-0.9494572018371663,10
2020,x,-1.46465325863626,6.0,-0.9494572091118524,10
2021,x,-0.430062379477202,7.0,-0.949457196365055,10
2022,x,-0.190856431133403,8.0,-0.9494572379068954,10
2023,x,-3.38640908102908,9.0,-0.9494571955926115,10
2024,x,-2.48993769905682,10.0,-0.9494572196704756,10
2014,x,-2.08007429289592,1.0,-0.8960744309347568,11
2015,x,-1.14194304957435,2.0,-0.8968739500456007,11
2016,x,-0.764743743296572,3.0,-0.8968742497233843,11
2017,x,-1.4010753226767,4.0,-0.8968742457107518,11
2018,x,-0.314491370857987,5.0,-0.896874226102498,11
2019,x,-2.80518295443834,6.0,-0.8968742505669661,11
2020,x,-1.46465325863626,7.0,-0.8968742429202945,11
2021,x,-0.430062379477202,8.0,-0.8968742366923952,11
2022,x,-0.190856431133403,9.0,-0.8968742481320887,11
2023,x,-3.38640908102908,10.0,-0.8968742394889838,11
2024,x,-2.48993769905682,11.0,-0.8968742456366867,11
2013,x,-0.0714933292012233,1.0,-0.9374087459909127,12
2014,x,-2.08007429289592,2.0,-0.9369766816199672,12
2015,x,-1.14194304957435,3.0,-0.9369765652181794,12
2016,x,-0.764743743296572,4.0,-0.9369765828840071,12
2017,x,-1.4010753226767,5.0,-0.9369765631659565,12
2018,x,-0.314491370857987,6.0,-0.9369765687791235,12
2019,x,-2.80518295443834,7.0,-0.936976588879698,12
2020,x,-1.46465325863626,8.0,-0.9369765626186997,12
2021,x,-0.430062379477202,9.0,-0.936976571149532,12
2022,x,-0.190856431133403,10.0,-0.9369765736182359,12
2023,x,-3.38640908102908,11.0,-0.9369765679696275,12
2024,x,-2.48993769905682,12.0,-0.9369766004299083,12
2012,x,-1.56014519310846,1.0,-0.909586355494737,13
2013,x,-0.0714933292012233,2.0,-0.9071010164478269,13
2014,x,-2.08007429289592,3.0,-0.9071008966319037,13
2015,x,-1.14194304957435,4.0,-0.9071010643765567,13
2016,x,-0.764743743296572,5.0,-0.9071008956952806,13
2017,x,-1.4010753226767,6.0,-0.9071009594361137,13
2018,x,-0.314491370857987,7.0,-0.9071009016137411,13
2019,x,-2.80518295443834,8.0,-0.9071009118613766,13
2020,x,-1.46465325863626,9.0,-0.9071009002783579,13
2021,x,-0.430062379477202,10.0,-0.9071009261256283,13
