year,variable,testing,horizon,forecast,fold
2024,x,-2.48993769905682,1.0,-2.1854368573829146,1
2023,x,-3.38640908102908,1.0,-2.1212556353750105,2
2024,x,-2.48993769905682,2.0,-1.7168156811887114,2
2022,x,-0.190856431133403,1.0,0.2920058551458435,3
2023,x,-3.38640908102908,2.0,0.3587488924611409,3
2024,x,-2.48993769905682,3.0,-1.763816922482679,3
2021,x,-0.430062379477202,1.0,-1.4658049430891573,4
2022,x,-0.190856431133403,2.0,0.25988982524341986,4
2023,x,-3.38640908102908,3.0,0.6012602234743123,4
2024,x,-2.48993769905682,4.0,-1.5356708313404779,4
2020,x,-1.46465325863626,1.0,-1.0674870820462277,5
2021,x,-0.430062379477202,2.0,-1.351804558619737,5
2022,x,-0.190856431133403,3.0,0.37112362386213005,5
2023,x,-3.38640908102908,4.0,-1.2078347978178055,5
2024,x,-2.48993769905682,5.0,-1.4791855930763556,5
2019,x,-2.80518295443834,1.0,-0.4380580229650768,6
2020,x,-1.46465325863626,2.0,-0.5782642620289229,6
2021,x,-0.430062379477202,3.0,0.19467659951540894,6
2022,x,-0.190856431133403,4.0,0.16169179482900728,6
2023,x,-3.38640908102908,5.0,0.4070521714640781,6
2024,x,-2.48993769905682,6.0,-1.4416872548854829,6
2018,x,-0.314491370857987,1.0,-0.5085785109475665,7
2019,x,-2.80518295443834,2.0,-0.590507436748386,7
2020,x,-1.46465325863626,3.0,-0.8772331037562735,7
2021,x,-0.430062379477202,4.0,-1.4459105300872575,7
2022,x,-0.190856431133403,5.0,-1.3421832604462327,7
2023,x,-3.38640908102908,6.0,-3.4612045779585765,7
2024,x,-2.48993769905682,7.0,-1.8248453814202854,7
2017,x,-1.4010753226767,1.0,-0.6293222856950699,8
2018,x,-0.314491370857987,2.0,-0.17727867806940822,8
2019,x,-2.80518295443834,3.0,-0.6234718059839294,8
2020,x,-1.46465325863626,4.0,-0.9086249527952734,8
2021,x,-0.430062379477202,5.0,-1.3966093144375493,8
2022,x,-0.190856431133403,6.0,-1.3715643549419632,8
2023,x,-3.38640908102908,7.0,-1.984516560313362,8
2024,x,-2.48993769905682,8.0,-1.4014565539913386,8
2016,x,-0.764743743296572,1.0,-1.6754407595230747,9
2017,x,-1.4010753226767,2.0,-0.18361411189909038,9
2018,x,-0.314491370857987,3.0,-0.1350674916513357,9
2019,x,-2.80518295443834,4.0,-0.6264304923031948,9
2020,x,-1.46465325863626,5.0,-0.7908276743169029,9
2021,x,-0.430062379477202,6.0,0.32316856465621235,9
2022,x,-0.190856431133403,7.0,0.7637074178842596,9
2023,x,-3.38640908102908,8.0,0.7825194465520585,9
2024,x,-2.48993769905682,9.0,-0.809777931092669,9
2015,x,-1.14194304957435,1.0,-1.0499735363921419,10
2016,x,-0.764743743296572,2.0,-1.9138208188719523,10
2017,x,-1.4010753226767,3.0,-0.16305021589956414,10
2018,x,-0.314491370857987,4.0,-0.10934321166634989,10
2019,x,-2.80518295443834,5.0,-0.6204345501758133,10
2020,x,-1.46465325863626,6.0,-0.7806416204422372,10
2021,x,-0.430062379477202,7.0,0.33580616810264063,10
2022,x,-0.190856431133403,8.0,0.8067529620274186,10
2023,x,-3.38640908102908,9.0,0.816689798253709,10
2024,x,-2.48993769905682,10.0,-0.7350085134383867,10
2014,x,-2.08007429289592,1.0,-0.07052622319978005,11
2015,x,-1.14194304957435,2.0,-0.9327460290566584,11
2016,x,-0.764743743296572,3.0,-1.8174330832404155,11
2017,x,-1.4010753226767,4.0,-0.2530166700886596,11
2018,x,-0.314491370857987,5.0,-0.11266104488916029,11
2019,x,-2.80518295443834,6.0,-0.4049507156755639,11
2020,x,-1.46465325863626,7.0,-0.6237679605327233,11
2021,x,-0.430062379477202,8.0,0.20752183354210996,11
2022,x,-0.190856431133403,9.0,0.11970392180220296,11
2023,x,-3.38640908102908,10.0,-2.5330615736500026,11
2024,x,-2.48993769905682,11.0,-1.0765001190860948,11
2013,x,-0.0714933292012233,1.0,-0.6122412057149751,12
2014,x,-2.08007429289592,2.0,-0.16269743493137334,12
2015,x,-1.14194304957435,3.0,-1.2169332619980087,12
2016,x,-0.764743743296572,4.0,-1.531182181615384,12
2017,x,-1.4010753226767,5.0,-1.2011180371950947,12
2018,x,-0.314491370857987,6.0,-0.5100686315033072,12
2019,x,-2.80518295443834,7.0,-0.47758684175348354,12
2020,x,-1.46465325863626,8.0,-0.9293208637333731,12
2021,x,-0.430062379477202,9.0,-1.5607276851431953,12
2022,x,-0.190856431133403,10.0,-2.1433032231374853,12
2023,x,-3.38640908102908,11.0,-5.196794031469019,12
2024,x,-2.48993769905682,12.0,-4.479911801529818,12
2012,x,-1.56014519310846,1.0,-4.97792274316254,13
2013,x,-0.0714933292012233,2.0,-4.055742631904792,13
2014,x,-2.08007429289592,3.0,-2.7648892673354277,13
2015,x,-1.14194304957435,4.0,-1.448102044141535,13
2016,x,-0.764743743296572,5.0,-2.3140698922919505,13
2017,x,-1.4010753226767,6.0,-0.8071423019876209,13
2018,x,-0.314491370857987,7.0,-0.45826859972784506,13
2019,x,-2.80518295443834,8.0,-0.40732850812046345,13
2020,x,-1.46465325863626,9.0,-0.7869205321732083,13
2021,x,-0.430062379477202,10.0,0.1173259847615119,13
2022,x,-0.190856431133403,11.0,-0.20302312167205228,13
2023,x,-3.38640908102908,12.0,-2.744800856665316,13
2024,x,-2.48993769905682,13.0,-1.9644927903107003,13
2011,x,-2.30199357393933,1.0,0.9203707279144875,14
2012,x,-1.56014519310846,2.0,2.021285718666767,14
2013,x,-0.0714933292012233,3.0,1.200281807529166,14
2014,x,-2.08007429289592,4.0,0.6754882719072927,14
2015,x,-1.14194304957435,5.0,-1.3327564203309463,14
2016,x,-0.764743743296572,6.0,-2.4117975709485475,14
2017,x,-1.4010753226767,7.0,-0.9974488140844131,14
2018,x,-0.314491370857987,8.0,0.6882280547416642,14
2019,x,-2.80518295443834,9.0,0.056787405306739425,14
2020,x,-1.46465325863626,10.0,-0.5057749037898231,14
2021,x,-0.430062379477202,11.0,0.45399132809689824,14
2022,x,-0.190856431133403,12.0,1.9876063930809487,14
2023,x,-3.38640908102908,13.0,2.0634512681112778,14
2024,x,-2.48993769905682,14.0,0.7810526091396708,14
2010,x,-0.940766257533952,1.0,-0.5291085209829294,15
2011,x,-2.30199357393933,2.0,-0.13850271845268325,15
2012,x,-1.56014519310846,3.0,0.05939434819682532,15
2013,x,-0.0714933292012233,4.0,-0.2793837207253949,15
2014,x,-2.08007429289592,5.0,-0.2890724243184419,15
2015,x,-1.14194304957435,6.0,-0.9134124029141317,15
2016,x,-0.764743743296572,7.0,-2.372494595628089,15
2017,x,-1.4010753226767,8.0,-1.666437523927231,15
2018,x,-0.314491370857987,9.0,0.7685595868832826,15
2019,x,-2.80518295443834,10.0,-0.09487396767639633,15
2020,x,-1.46465325863626,11.0,-0.5280529843431508,15
2021,x,-0.430062379477202,12.0,0.1764237935412415,15
2022,x,-0.190856431133403,13.0,2.5624048201564227,15
2023,x,-3.38640908102908,14.0,2.4471450805744794,15
2024,x,-2.48993769905682,15.0,1.4983892407192827,15
