year,variable,testing,horizon,forecast,fold
2024,lat_36_08549,-4.570638202445716,1.0,-1.6177047474262207,1
2024,lat_36_08999,-2.35061012151384,1.0,-2.6297401425498244,1
2024,lat_36_09449,-4.131525879912678,1.0,-2.559735288709357,1
2024,lat_36_09899,-2.83589196644073,1.0,-2.191514498873995,1
2024,lat_36_10349,-1.4747877520406367,1.0,-1.318994585302318,1
2024,lat_36_10799,-2.1482707752286765,1.0,-1.6142852926429547,1
2024,lat_36_11249,-2.8035553859912135,1.0,-1.5391649671852514,1
2024,lat_36_11698,-4.004044632110705,1.0,-1.9534496524902498,1
2024,lat_36_12148,-4.329941574607597,1.0,-1.844909282416447,1
2024,lat_36_12598,-3.852776147384812,1.0,-2.105947184409509,1
2024,lat_36_13048,-4.13453748503702,1.0,-2.6248272089769507,1
2023,lat_36_08549,-4.290162188035178,1.0,-1.2618853466169029,2
2024,lat_36_08549,-4.570638202445716,2.0,-1.2618853466169029,2
2023,lat_36_08999,-4.22999702779643,1.0,-2.401558476677314,2
2024,lat_36_08999,-2.35061012151384,2.0,-2.401558476677314,2
2023,lat_36_09449,-4.492649052801522,1.0,-2.2990835974298145,2
2024,lat_36_09449,-4.131525879912678,2.0,-2.2990835974298145,2
2023,lat_36_09899,-3.933099084921099,1.0,-1.941190262859906,2
2024,lat_36_09899,-2.83589196644073,2.0,-1.941190262859906,2
2023,lat_36_10349,-1.8232250088059292,1.0,-1.2418607583007617,2
2024,lat_36_10349,-1.4747877520406367,2.0,-1.2418607583007617,2
2023,lat_36_10799,-2.3729764004840987,1.0,-1.500517100097507,2
2024,lat_36_10799,-2.1482707752286765,2.0,-1.500517100097507,2
2023,lat_36_11249,-2.3496358237800443,1.0,-1.4227504367474555,2
2024,lat_36_11249,-2.8035553859912135,2.0,-1.4227504367474555,2
2023,lat_36_11698,-4.605170185988091,1.0,-1.589086514556398,2
2024,lat_36_11698,-4.004044632110705,2.0,-1.589086514556398,2
2023,lat_36_12148,-4.498476789270406,1.0,-1.483823325402667,2
2024,lat_36_12148,-4.329941574607597,2.0,-1.483823325402667,2
2023,lat_36_12598,-4.261077997597968,1.0,-1.8109253089044104,2
2024,lat_36_12598,-3.852776147384812,2.0,-1.8109253089044104,2
2023,lat_36_13048,-4.252929512739863,1.0,-2.3943715816271407,2
2024,lat_36_13048,-4.13453748503702,2.0,-2.3943715816271407,2
2022,lat_36_08549,-1.1929081182347607,1.0,-1.2712937042470893,3
2023,lat_36_08549,-4.290162188035178,2.0,-1.2712937042470893,3
2024,lat_36_08549,-4.570638202445716,3.0,-1.2712937042470893,3
2022,lat_36_08999,-3.9056189665983982,1.0,-2.203354108997578,3
2023,lat_36_08999,-4.22999702779643,2.0,-2.203354108997578,3
2024,lat_36_08999,-2.35061012151384,3.0,-2.203354108997578,3
2022,lat_36_09449,-2.8562656756034253,1.0,-2.2314005426497094,3
2023,lat_36_09449,-4.492649052801522,2.0,-2.2314005426497094,3
2024,lat_36_09449,-4.131525879912678,3.0,-2.2314005426497094,3
2022,lat_36_09899,-3.947217868200645,1.0,-1.6721186609894028,3
2023,lat_36_09899,-3.933099084921099,2.0,-1.6721186609894028,3
2024,lat_36_09899,-2.83589196644073,3.0,-1.6721186609894028,3
2022,lat_36_10349,-1.4573428428085486,1.0,-1.208838356688326,3
2023,lat_36_10349,-1.8232250088059292,2.0,-1.208838356688326,3
2024,lat_36_10349,-1.4747877520406367,3.0,-1.208838356688326,3
2022,lat_36_10799,-1.7635637092174457,1.0,-1.456885845348971,3
2023,lat_36_10799,-2.3729764004840987,2.0,-1.456885845348971,3
2024,lat_36_10799,-2.1482707752286765,3.0,-1.456885845348971,3
2022,lat_36_11249,-1.3905000356666306,1.0,-1.4185031290596106,3
2023,lat_36_11249,-2.3496358237800443,2.0,-1.4185031290596106,3
2024,lat_36_11249,-2.8035553859912135,3.0,-1.4185031290596106,3
2022,lat_36_11698,-2.7931933374976934,1.0,-1.4294523066281495,3
2023,lat_36_11698,-4.605170185988091,2.0,-1.4294523066281495,3
2024,lat_36_11698,-4.004044632110705,3.0,-1.4294523066281495,3
2022,lat_36_12148,-2.014888701031007,1.0,-1.4063997167269922,3
2023,lat_36_12148,-4.498476789270406,2.0,-1.4063997167269922,3
2024,lat_36_12148,-4.329941574607597,3.0,-1.4063997167269922,3
2022,lat_36_12598,-1.786417682123372,1.0,-1.803044953390217,3
2023,lat_36_12598,-4.261077997597968,2.0,-1.803044953390217,3
2024,lat_36_12598,-3.852776147384812,3.0,-1.803044953390217,3
2022,lat_36_13048,-2.919342556067837,1.0,-2.312600951107893,3
2023,lat_36_13048,-4.252929512739863,2.0,-2.312600951107893,3
2024,lat_36_13048,-4.13453748503702,3.0,-2.312600951107893,3
2021,lat_36_08549,-1.5333531309772477,1.0,-1.2420870569512135,4
2022,lat_36_08549,-1.1929081182347607,2.0,-1.2420870569512135,4
2023,lat_36_08549,-4.290162188035178,3.0,-1.2420870569512135,4
2024,lat_36_08549,-4.570638202445716,4.0,-1.2420870569512135,4
2021,lat_36_08999,-4.5200079797018455,1.0,-1.9170221991376621,4
2022,lat_36_08999,-3.9056189665983982,2.0,-1.9170221991376621,4
2023,lat_36_08999,-4.22999702779643,3.0,-1.9170221991376621,4
2024,lat_36_08999,-2.35061012151384,4.0,-1.9170221991376621,4
2021,lat_36_09449,-3.0436224605093134,1.0,-2.1329365246218375,4
2022,lat_36_09449,-2.8562656756034253,2.0,-2.1329365246218375,4
2023,lat_36_09449,-4.492649052801522,3.0,-2.1329365246218375,4
2024,lat_36_09449,-4.131525879912678,4.0,-2.1329365246218375,4
2021,lat_36_09899,-4.605170185988091,1.0,-1.3096070883538657,4
2022,lat_36_09899,-3.947217868200645,2.0,-1.3096070883538657,4
2023,lat_36_09899,-3.933099084921099,3.0,-1.3096070883538657,4
2024,lat_36_09899,-2.83589196644073,4.0,-1.3096070883538657,4
2021,lat_36_10349,-3.036719092619263,1.0,-0.9867381190361906,4
2022,lat_36_10349,-1.4573428428085486,2.0,-0.9867381190361906,4
2023,lat_36_10349,-1.8232250088059292,3.0,-0.9867381190361906,4
2024,lat_36_10349,-1.4747877520406367,4.0,-0.9867381190361906,4
2021,lat_36_10799,-3.3237005823553085,1.0,-1.2263435588328846,4
2022,lat_36_10799,-1.7635637092174457,2.0,-1.2263435588328846,4
2023,lat_36_10799,-2.3729764004840987,3.0,-1.2263435588328846,4
2024,lat_36_10799,-2.1482707752286765,4.0,-1.2263435588328846,4
2021,lat_36_11249,-3.1618076864327787,1.0,-1.2038733022239416,4
2022,lat_36_11249,-1.3905000356666306,2.0,-1.2038733022239416,4
2023,lat_36_11249,-2.3496358237800443,3.0,-1.2038733022239416,4
2024,lat_36_11249,-2.8035553859912135,4.0,-1.2038733022239416,4
2021,lat_36_11698,-3.804831970999918,1.0,-1.1382400538240027,4
2022,lat_36_11698,-2.7931933374976934,2.0,-1.1382400538240027,4
2023,lat_36_11698,-4.605170185988091,3.0,-1.1382400538240027,4
2024,lat_36_11698,-4.004044632110705,4.0,-1.1382400538240027,4
2021,lat_36_12148,-2.87501688415025,1.0,-1.2238634967159234,4
2022,lat_36_12148,-2.014888701031007,2.0,-1.2238634967159234,4
2023,lat_36_12148,-4.498476789270406,3.0,-1.2238634967159234,4
2024,lat_36_12148,-4.329941574607597,4.0,-1.2238634967159234,4
2021,lat_36_12598,-2.40023022445066,1.0,-1.7216835569223177,4
2022,lat_36_12598,-1.786417682123372,2.0,-1.7216835569223177,4
2023,lat_36_12598,-4.261077997597968,3.0,-1.7216835569223177,4
2024,lat_36_12598,-3.852776147384812,4.0,-1.7216835569223177,4
2021,lat_36_13048,-3.7274502089592016,1.0,-2.126094127881182,4
2022,lat_36_13048,-2.919342556067837,2.0,-2.126094127881182,4
2023,lat_36_13048,-4.252929512739863,3.0,-2.126094127881182,4
2024,lat_36_13048,-4.13453748503702,4.0,-2.126094127881182,4
2020,lat_36_08549,-0.9215409768076366,1.0,-1.279797623517454,5
2021,lat_36_08549,-1.5333531309772477,2.0,-1.279797623517454,5
2022,lat_36_08549,-1.1929081182347607,3.0,-1.279797623517454,5
2023,lat_36_08549,-4.290162188035178,4.0,-1.279797623517454,5
2024,lat_36_08549,-4.570638202445716,5.0,-1.279797623517454,5
2020,lat_36_08999,-1.8735547825828502,1.0,-1.9182202580476784,5
2021,lat_36_08999,-4.5200079797018455,2.0,-1.9182202580476784,5
