year,variable,testing,horizon,forecast,fold
2024,1,-1.61278358392821,1.0,-0.4672449557583569,1
2024,2,-2.19346875268606,1.0,-0.8554871868556081,1
2024,3,-3.09251364812043,1.0,-0.9310119351250946,1
2024,4,-2.15909577676136,1.0,-0.9203309108634492,1
2024,5,-4.41310972973227,1.0,-0.979309027580091,1
2024,6,-3.10109278921182,1.0,-1.3906505282746122,1
2024,7,-3.10871446612045,1.0,-0.6964070139201884,1
2024,8,-2.31939221131043,1.0,-0.6877467690638922,1
2024,9,-1.1781194254996,1.0,-1.6281560199725034,1
2024,10,-2.07163138543782,1.0,-1.1153366094972827,1
2024,11,-2.93199100448358,1.0,-0.8285406369322705,1
2024,12,-2.82822580254518,1.0,-0.9969247160913455,1
2024,13,-1.92343456655394,1.0,-0.8905806530395798,1
2024,14,-2.23454505626237,1.0,-1.4609340135060727,1
2024,15,-5.29831736654804,1.0,-0.894360698622292,1
2024,16,-4.62926773756715,1.0,-1.7570680868379043,1
2023,1,-2.55454908284375,1.0,-0.4108313291891654,2
2024,1,-1.61278358392821,2.0,-0.4108313291891654,2
2023,2,-4.31618416238011,1.0,-0.7619548390690737,2
2024,2,-2.19346875268606,2.0,-0.7619548390690737,2
2023,3,-3.38865653947213,1.0,-0.8645891130565472,2
2024,3,-3.09251364812043,2.0,-0.8645891130565472,2
2023,4,-2.7092973127336,1.0,-0.8719804704142173,2
2024,4,-2.15909577676136,2.0,-0.8719804704142173,2
2023,5,-4.53050705920955,1.0,-0.8833307011053525,2
2024,5,-4.41310972973227,2.0,-0.8833307011053525,2
2023,6,-3.26967616823309,1.0,-1.3398660640067865,2
2024,6,-3.10109278921182,2.0,-1.3398660640067865,2
2023,7,-3.06613691822524,1.0,-0.6323602571906047,2
2024,7,-3.10871446612045,2.0,-0.6323602571906047,2
2023,8,-2.92629972942666,1.0,-0.627245333670597,2
2024,8,-2.31939221131043,2.0,-0.627245333670597,2
2023,9,-2.24008669497142,1.0,-1.6116173685068862,2
2024,9,-1.1781194254996,2.0,-1.6116173685068862,2
2023,10,-3.28501412049649,1.0,-1.0566966677584861,2
2024,10,-2.07163138543782,2.0,-1.0566966677584861,2
2023,11,-3.11748363522541,1.0,-0.7666773138448234,2
2024,11,-2.93199100448358,2.0,-0.7666773138448234,2
2023,12,-3.52709249976169,1.0,-0.9285417979315966,2
2024,12,-2.82822580254518,2.0,-0.9285417979315966,2
2023,13,-4.1433521413288,1.0,-0.8026679042522175,2
2024,13,-1.92343456655394,2.0,-0.8026679042522175,2
2023,14,-3.02663981101707,1.0,-1.4186176327766287,2
2024,14,-2.23454505626237,2.0,-1.4186176327766287,2
2023,15,-5.29831736654804,1.0,-0.7753348406162462,2
2024,15,-5.29831736654804,2.0,-0.7753348406162462,2
2023,16,-5.29831736654804,1.0,-1.6613586493398684,2
2024,16,-4.62926773756715,2.0,-1.6613586493398684,2
2022,1,-0.363060412565469,1.0,-0.41215830305068857,3
2023,1,-2.55454908284375,2.0,-0.41215830305068857,3
2024,1,-1.61278358392821,3.0,-0.41215830305068857,3
2022,2,-1.21008246111668,1.0,-0.7495068504861703,3
2023,2,-4.31618416238011,2.0,-0.7495068504861703,3
2024,2,-2.19346875268606,3.0,-0.7495068504861703,3
2022,3,-0.10014633896894,1.0,-0.8858236224720136,3
2023,3,-3.38865653947213,2.0,-0.8858236224720136,3
2024,3,-3.09251364812043,3.0,-0.8858236224720136,3
2022,4,-0.476309181809012,1.0,-0.8829713305715047,3
2023,4,-2.7092973127336,2.0,-0.8829713305715047,3
2024,4,-2.15909577676136,3.0,-0.8829713305715047,3
2022,5,-0.474585538750847,1.0,-0.8946847262492634,3
2023,5,-4.53050705920955,2.0,-0.8946847262492634,3
2024,5,-4.41310972973227,3.0,-0.8946847262492634,3
2022,6,0.297134384697218,1.0,-1.3853382829661363,3
2023,6,-3.26967616823309,2.0,-1.3853382829661363,3
2024,6,-3.10109278921182,3.0,-1.3853382829661363,3
2022,7,0.0447042690898371,1.0,-0.6511676135714708,3
2023,7,-3.06613691822524,2.0,-0.6511676135714708,3
2024,7,-3.10871446612045,3.0,-0.6511676135714708,3
2022,8,0.794263436582801,1.0,-0.6667316934390864,3
2023,8,-2.92629972942666,2.0,-0.6667316934390864,3
2024,8,-2.31939221131043,3.0,-0.6667316934390864,3
2022,9,0.579691657941138,1.0,-1.6724870386030144,3
2023,9,-2.24008669497142,2.0,-1.6724870386030144,3
2024,9,-1.1781194254996,3.0,-1.6724870386030144,3
2022,10,1.70686705776565,1.0,-1.1334623467932718,3
2023,10,-3.28501412049649,2.0,-1.1334623467932718,3
2024,10,-2.07163138543782,3.0,-1.1334623467932718,3
2022,11,0.428922014671995,1.0,-0.7998884006865403,3
2023,11,-3.11748363522541,2.0,-0.7998884006865403,3
2024,11,-2.93199100448358,3.0,-0.7998884006865403,3
2022,12,-0.907471773000918,1.0,-0.9291270808667067,3
2023,12,-3.52709249976169,2.0,-0.9291270808667067,3
2024,12,-2.82822580254518,3.0,-0.9291270808667067,3
2022,13,-1.17033444517711,1.0,-0.792454944294383,3
2023,13,-4.1433521413288,2.0,-0.792454944294383,3
2024,13,-1.92343456655394,3.0,-0.792454944294383,3
2022,14,-2.18309411499251,1.0,-1.3973821754836504,3
2023,14,-3.02663981101707,2.0,-1.3973821754836504,3
2024,14,-2.23454505626237,3.0,-1.3973821754836504,3
2022,15,0.232447726506129,1.0,-0.8033287999070836,3
2023,15,-5.29831736654804,2.0,-0.8033287999070836,3
2024,15,-5.29831736654804,3.0,-0.8033287999070836,3
2022,16,-0.690243598618429,1.0,-1.6883340500547772,3
2023,16,-5.29831736654804,2.0,-1.6883340500547772,3
2024,16,-4.62926773756715,3.0,-1.6883340500547772,3
2021,1,-0.0354894769010706,1.0,-0.42292026704625363,4
2022,1,-0.363060412565469,2.0,-0.42292026704625363,4
2023,1,-2.55454908284375,3.0,-0.42292026704625363,4
2024,1,-1.61278358392821,4.0,-0.42292026704625363,4
2021,2,-1.0486687906398,1.0,-0.7409593628716322,4
2022,2,-1.21008246111668,2.0,-0.7409593628716322,4
2023,2,-4.31618416238011,3.0,-0.7409593628716322,4
2024,2,-2.19346875268606,4.0,-0.7409593628716322,4
2021,3,0.159863048864675,1.0,-0.9157003921478417,4
2022,3,-0.10014633896894,2.0,-0.9157003921478417,4
2023,3,-3.38865653947213,3.0,-0.9157003921478417,4
2024,3,-3.09251364812043,4.0,-0.9157003921478417,4
2021,4,-1.0053890423433,1.0,-0.8794736874070292,4
2022,4,-0.476309181809012,2.0,-0.8794736874070292,4
2023,4,-2.7092973127336,3.0,-0.8794736874070292,4
2024,4,-2.15909577676136,4.0,-0.8794736874070292,4
2021,5,-0.616343088337268,1.0,-0.9026373534592124,4
2022,5,-0.474585538750847,2.0,-0.9026373534592124,4
2023,5,-4.53050705920955,3.0,-0.9026373534592124,4
2024,5,-4.41310972973227,4.0,-0.9026373534592124,4
2021,6,-0.410869782061391,1.0,-1.413180243492584,4
2022,6,0.297134384697218,2.0,-1.413180243492584,4
2023,6,-3.26967616823309,3.0,-1.413180243492584,4
2024,6,-3.10109278921182,4.0,-1.413180243492584,4
2021,7,-0.443342055930725,1.0,-0.6571054810793044,4
2022,7,0.0447042690898371,2.0,-0.6571054810793044,4
2023,7,-3.06613691822524,3.0,-0.6571054810793044,4
2024,7,-3.10871446612045,4.0,-0.6571054810793044,4
2021,8,0.250759510949325,1.0,-0.69294572649549,4
2022,8,0.794263436582801,2.0,-0.69294572649549,4
2023,8,-2.92629972942666,3.0,-0.69294572649549,4
2024,8,-2.31939221131043,4.0,-0.69294572649549,4
2021,9,0.286329116803583,1.0,-1.7284532224423603,4
2022,9,0.579691657941138,2.0,-1.7284532224423603,4
2023,9,-2.24008669497142,3.0,-1.7284532224423603,4
2024,9,-1.1781194254996,4.0,-1.7284532224423603,4
2021,10,0.680352697375432,1.0,-1.1852856235455909,4
2022,10,1.70686705776565,2.0,-1.1852856235455909,4
2023,10,-3.28501412049649,3.0,-1.1852856235455909,4
2024,10,-2.07163138543782,4.0,-1.1852856235455909,4
2021,11,0.0606514126501867,1.0,-0.824475257527553,4
2022,11,0.428922014671995,2.0,-0.824475257527553,4
2023,11,-3.11748363522541,3.0,-0.824475257527553,4
2024,11,-2.93199100448358,4.0,-0.824475257527553,4
2021,12,-0.774094052735583,1.0,-0.9335565972437463,4
2022,12,-0.907471773000918,2.0,-0.9335565972437463,4
2023,12,-3.52709249976169,3.0,-0.9335565972437463,4
2024,12,-2.82822580254518,4.0,-0.9335565972437463,4
2021,13,-1.11217357959603,1.0,-0.7833201324190914,4
2022,13,-1.17033444517711,2.0,-0.7833201324190914,4
2023,13,-4.1433521413288,3.0,-0.7833201324190914,4
2024,13,-1.92343456655394,4.0,-0.7833201324190914,4
2021,14,-2.4032108831935,1.0,-1.3686442211619705,4
2022,14,-2.18309411499251,2.0,-1.3686442211619705,4
2023,14,-3.02663981101707,3.0,-1.3686442211619705,4
2024,14,-2.23454505626237,4.0,-1.3686442211619705,4
2021,15,-0.203146337211979,1.0,-0.8204768739792253,4
2022,15,0.232447726506129,2.0,-0.8204768739792253,4
2023,15,-5.29831736654804,3.0,-0.8204768739792253,4
2024,15,-5.29831736654804,4.0,-0.8204768739792253,4
2021,16,-1.20571255812913,1.0,-1.702123249603367,4
2022,16,-0.690243598618429,2.0,-1.702123249603367,4
2023,16,-5.29831736654804,3.0,-1.702123249603367,4
2024,16,-4.62926773756715,4.0,-1.702123249603367,4
2020,1,-0.307605528161789,1.0,-0.42631187677978594,5
2021,1,-0.0354894769010706,2.0,-0.42631187677978594,5
2022,1,-0.363060412565469,3.0,-0.42631187677978594,5
2023,1,-2.55454908284375,4.0,-0.42631187677978594,5
2024,1,-1.61278358392821,5.0,-0.42631187677978594,5
2020,2,-1.62154798125061,1.0,-0.7150596977920265,5
2021,2,-1.0486687906398,2.0,-0.7150596977920265,5
2022,2,-1.21008246111668,3.0,-0.7150596977920265,5
2023,2,-4.31618416238011,4.0,-0.7150596977920265,5
2024,2,-2.19346875268606,5.0,-0.7150596977920265,5
2020,3,-1.11662780742894,1.0,-0.9097907624377397,5
2021,3,0.159863048864675,2.0,-0.9097907624377397,5
2022,3,-0.10014633896894,3.0,-0.9097907624377397,5
2023,3,-3.38865653947213,4.0,-0.9097907624377397,5
2024,3,-3.09251364812043,5.0,-0.9097907624377397,5
2020,4,-1.99326384543878,1.0,-0.8467151531273654,5
2021,4,-1.0053890423433,2.0,-0.8467151531273654,5
2022,4,-0.476309181809012,3.0,-0.8467151531273654,5
2023,4,-2.7092973127336,4.0,-0.8467151531273654,5
2024,4,-2.15909577676136,5.0,-0.8467151531273654,5
2020,5,-1.5308903335151,1.0,-0.8841593246953978,5
2021,5,-0.616343088337268,2.0,-0.8841593246953978,5
2022,5,-0.474585538750847,3.0,-0.8841593246953978,5
2023,5,-4.53050705920955,4.0,-0.8841593246953978,5
2024,5,-4.41310972973227,5.0,-0.8841593246953978,5
2020,6,-2.26267663763147,1.0,-1.388195055509952,5
2021,6,-0.410869782061391,2.0,-1.388195055509952,5
2022,6,0.297134384697218,3.0,-1.388195055509952,5
2023,6,-3.26967616823309,4.0,-1.388195055509952,5
2024,6,-3.10109278921182,5.0,-1.388195055509952,5
2020,7,-2.28051870165064,1.0,-0.6093580325400335,5
2021,7,-0.443342055930725,2.0,-0.6093580325400335,5
2022,7,0.0447042690898371,3.0,-0.6093580325400335,5
2023,7,-3.06613691822524,4.0,-0.6093580325400335,5
2024,7,-3.10871446612045,5.0,-0.6093580325400335,5
2020,8,-1.4244135663522,1.0,-0.6714319665472576,5
2021,8,0.250759510949325,2.0,-0.6714319665472576,5
2022,8,0.794263436582801,3.0,-0.6714319665472576,5
2023,8,-2.92629972942666,4.0,-0.6714319665472576,5
2024,8,-2.31939221131043,5.0,-0.6714319665472576,5
2020,9,-1.27746500850448,1.0,-1.7417175818760184,5
2021,9,0.286329116803583,2.0,-1.7417175818760184,5
2022,9,0.579691657941138,3.0,-1.7417175818760184,5
2023,9,-2.24008669497142,4.0,-1.7417175818760184,5
2024,9,-1.1781194254996,5.0,-1.7417175818760184,5
2020,10,-0.525715635682895,1.0,-1.2046847402543024,5
2021,10,0.680352697375432,2.0,-1.2046847402543024,5
2022,10,1.70686705776565,3.0,-1.2046847402543024,5
2023,10,-3.28501412049649,4.0,-1.2046847402543024,5
2024,10,-2.07163138543782,5.0,-1.2046847402543024,5
2020,11,-1.16703664604368,1.0,-0.8143999225312186,5
2021,11,0.0606514126501867,2.0,-0.8143999225312186,5
2022,11,0.428922014671995,3.0,-0.8143999225312186,5
2023,11,-3.11748363522541,4.0,-0.8143999225312186,5
2024,11,-2.93199100448358,5.0,-0.8143999225312186,5
2020,12,-2.20488542579234,1.0,-0.8961645730638725,5
2021,12,-0.774094052735583,2.0,-0.8961645730638725,5
2022,12,-0.907471773000918,3.0,-0.8961645730638725,5
2023,12,-3.52709249976169,4.0,-0.8961645730638725,5
2024,12,-2.82822580254518,5.0,-0.8961645730638725,5
2020,13,-2.07559353308366,1.0,-0.7453120913193579,5
2021,13,-1.11217357959603,2.0,-0.7453120913193579,5
2022,13,-1.17033444517711,3.0,-0.7453120913193579,5
2023,13,-4.1433521413288,4.0,-0.7453120913193579,5
2024,13,-1.92343456655394,5.0,-0.7453120913193579,5
2020,14,-4.640676874445,1.0,-1.2724079645862416,5
2021,14,-2.4032108831935,2.0,-1.2724079645862416,5
2022,14,-2.18309411499251,3.0,-1.2724079645862416,5
2023,14,-3.02663981101707,4.0,-1.2724079645862416,5
2024,14,-2.23454505626237,5.0,-1.2724079645862416,5
2020,15,-0.445258077992355,1.0,-0.8315127201315629,5
2021,15,-0.203146337211979,2.0,-0.8315127201315629,5
2022,15,0.232447726506129,3.0,-0.8315127201315629,5
2023,15,-5.29831736654804,4.0,-0.8315127201315629,5
2024,15,-5.29831736654804,5.0,-0.8315127201315629,5
2020,16,-2.13320977510965,1.0,-1.6894442335225608,5
2021,16,-1.20571255812913,2.0,-1.6894442335225608,5
2022,16,-0.690243598618429,3.0,-1.6894442335225608,5
2023,16,-5.29831736654804,4.0,-1.6894442335225608,5
2024,16,-4.62926773756715,5.0,-1.6894442335225608,5
2019,1,-0.89217900805992,1.0,-0.4121946912404932,6
2020,1,-0.307605528161789,2.0,-0.4121946912404932,6
2021,1,-0.0354894769010706,3.0,-0.4121946912404932,6
2022,1,-0.363060412565469,4.0,-0.4121946912404932,6
2023,1,-2.55454908284375,5.0,-0.4121946912404932,6
2024,1,-1.61278358392821,6.0,-0.4121946912404932,6
2019,2,-2.69257647961522,1.0,-0.6551349462341656,6
2020,2,-1.62154798125061,2.0,-0.6551349462341656,6
2021,2,-1.0486687906398,3.0,-0.6551349462341656,6
2022,2,-1.21008246111668,4.0,-0.6551349462341656,6
2023,2,-4.31618416238011,5.0,-0.6551349462341656,6
2024,2,-2.19346875268606,6.0,-0.6551349462341656,6
2019,3,-2.37690098696991,1.0,-0.8653328760663561,6
2020,3,-1.11662780742894,2.0,-0.8653328760663561,6
2021,3,0.159863048864675,3.0,-0.8653328760663561,6
2022,3,-0.10014633896894,4.0,-0.8653328760663561,6
2023,3,-3.38865653947213,5.0,-0.8653328760663561,6
2024,3,-3.09251364812043,6.0,-0.8653328760663561,6
2019,4,-4.55110296471782,1.0,-0.7344609777783575,6
2020,4,-1.99326384543878,2.0,-0.7344609777783575,6
2021,4,-1.0053890423433,3.0,-0.7344609777783575,6
2022,4,-0.476309181809012,4.0,-0.7344609777783575,6
2023,4,-2.7092973127336,5.0,-0.7344609777783575,6
2024,4,-2.15909577676136,6.0,-0.7344609777783575,6
2019,5,-1.87671578342128,1.0,-0.8540818558671627,6
2020,5,-1.5308903335151,2.0,-0.8540818558671627,6
2021,5,-0.616343088337268,3.0,-0.8540818558671627,6
2022,5,-0.474585538750847,4.0,-0.8540818558671627,6
2023,5,-4.53050705920955,5.0,-0.8540818558671627,6
2024,5,-4.41310972973227,6.0,-0.8540818558671627,6
2019,6,-2.51688728316673,1.0,-1.353992260183035,6
2020,6,-2.26267663763147,2.0,-1.353992260183035,6
2021,6,-0.410869782061391,3.0,-1.353992260183035,6
2022,6,0.297134384697218,4.0,-1.353992260183035,6
2023,6,-3.26967616823309,5.0,-1.353992260183035,6
2024,6,-3.10109278921182,6.0,-1.353992260183035,6
2019,7,-2.86730648496517,1.0,-0.5409353526142979,6
2020,7,-2.28051870165064,2.0,-0.5409353526142979,6
2021,7,-0.443342055930725,3.0,-0.5409353526142979,6
2022,7,0.0447042690898371,4.0,-0.5409353526142979,6
2023,7,-3.06613691822524,5.0,-0.5409353526142979,6
2024,7,-3.10871446612045,6.0,-0.5409353526142979,6
2019,8,-3.29425536079263,1.0,-0.5919524701407137,6
2020,8,-1.4244135663522,2.0,-0.5919524701407137,6
2021,8,0.250759510949325,3.0,-0.5919524701407137,6
2022,8,0.794263436582801,4.0,-0.5919524701407137,6
2023,8,-2.92629972942666,5.0,-0.5919524701407137,6
2024,8,-2.31939221131043,6.0,-0.5919524701407137,6
2019,9,-3.30568154633011,1.0,-1.6943247358231466,6
2020,9,-1.27746500850448,2.0,-1.6943247358231466,6
2021,9,0.286329116803583,3.0,-1.6943247358231466,6
2022,9,0.579691657941138,4.0,-1.6943247358231466,6
2023,9,-2.24008669497142,5.0,-1.6943247358231466,6
2024,9,-1.1781194254996,6.0,-1.6943247358231466,6
2019,10,-4.08944985733414,1.0,-1.1172676152733523,6
2020,10,-0.525715635682895,2.0,-1.1172676152733523,6
2021,10,0.680352697375432,3.0,-1.1172676152733523,6
2022,10,1.70686705776565,4.0,-1.1172676152733523,6
2023,10,-3.28501412049649,5.0,-1.1172676152733523,6
2024,10,-2.07163138543782,6.0,-1.1172676152733523,6
2019,11,-3.64420409311631,1.0,-0.7286482805223727,6
2020,11,-1.16703664604368,2.0,-0.7286482805223727,6
2021,11,0.0606514126501867,3.0,-0.7286482805223727,6
2022,11,0.428922014671995,4.0,-0.7286482805223727,6
2023,11,-3.11748363522541,5.0,-0.7286482805223727,6
2024,11,-2.93199100448358,6.0,-0.7286482805223727,6
2019,12,-3.16920421507096,1.0,-0.8272845831775597,6
2020,12,-2.20488542579234,2.0,-0.8272845831775597,6
2021,12,-0.774094052735583,3.0,-0.8272845831775597,6
2022,12,-0.907471773000918,4.0,-0.8272845831775597,6
2023,12,-3.52709249976169,5.0,-0.8272845831775597,6
2024,12,-2.82822580254518,6.0,-0.8272845831775597,6
2019,13,-2.69035062400281,1.0,-0.6863715300635559,6
2020,13,-2.07559353308366,2.0,-0.6863715300635559,6
2021,13,-1.11217357959603,3.0,-0.6863715300635559,6
2022,13,-1.17033444517711,4.0,-0.6863715300635559,6
2023,13,-4.1433521413288,5.0,-0.6863715300635559,6
2024,13,-1.92343456655394,6.0,-0.6863715300635559,6
2019,14,-3.02663981101707,1.0,-1.2192494248393462,6
2020,14,-4.640676874445,2.0,-1.2192494248393462,6
2021,14,-2.4032108831935,3.0,-1.2192494248393462,6
2022,14,-2.18309411499251,4.0,-1.2192494248393462,6
2023,14,-3.02663981101707,5.0,-1.2192494248393462,6
2024,14,-2.23454505626237,6.0,-1.2192494248393462,6
2019,15,-5.29831736654804,1.0,-0.6961550037812172,6
2020,15,-0.445258077992355,2.0,-0.6961550037812172,6
2021,15,-0.203146337211979,3.0,-0.6961550037812172,6
2022,15,0.232447726506129,4.0,-0.6961550037812172,6
2023,15,-5.29831736654804,5.0,-0.6961550037812172,6
2024,15,-5.29831736654804,6.0,-0.6961550037812172,6
2019,16,-5.29831736654804,1.0,-1.5800844435147612,6
2020,16,-2.13320977510965,2.0,-1.5800844435147612,6
2021,16,-1.20571255812913,3.0,-1.5800844435147612,6
2022,16,-0.690243598618429,4.0,-1.5800844435147612,6
2023,16,-5.29831736654804,5.0,-1.5800844435147612,6
2024,16,-4.62926773756715,6.0,-1.5800844435147612,6
2018,1,1.47445091547688,1.0,-0.47115236433705293,7
2019,1,-0.89217900805992,2.0,-0.47115236433705293,7
2020,1,-0.307605528161789,3.0,-0.47115236433705293,7
2021,1,-0.0354894769010706,4.0,-0.47115236433705293,7
2022,1,-0.363060412565469,5.0,-0.47115236433705293,7
2023,1,-2.55454908284375,6.0,-0.47115236433705293,7
2024,1,-1.61278358392821,7.0,-0.47115236433705293,7
2018,2,0.44937622557549,1.0,-0.689650923708183,7
2019,2,-2.69257647961522,2.0,-0.689650923708183,7
2020,2,-1.62154798125061,3.0,-0.689650923708183,7
2021,2,-1.0486687906398,4.0,-0.689650923708183,7
2022,2,-1.21008246111668,5.0,-0.689650923708183,7
2023,2,-4.31618416238011,6.0,-0.689650923708183,7
2024,2,-2.19346875268606,7.0,-0.689650923708183,7
2018,3,1.16756303871604,1.0,-0.9288608706549173,7
2019,3,-2.37690098696991,2.0,-0.9288608706549173,7
2020,3,-1.11662780742894,3.0,-0.9288608706549173,7
2021,3,0.159863048864675,4.0,-0.9288608706549173,7
2022,3,-0.10014633896894,5.0,-0.9288608706549173,7
2023,3,-3.38865653947213,6.0,-0.9288608706549173,7
2024,3,-3.09251364812043,7.0,-0.9288608706549173,7
2018,4,-0.716197699501421,1.0,-0.7350317016828165,7
2019,4,-4.55110296471782,2.0,-0.7350317016828165,7
2020,4,-1.99326384543878,3.0,-0.7350317016828165,7
2021,4,-1.0053890423433,4.0,-0.7350317016828165,7
2022,4,-0.476309181809012,5.0,-0.7350317016828165,7
2023,4,-2.7092973127336,6.0,-0.7350317016828165,7
2024,4,-2.15909577676136,7.0,-0.7350317016828165,7
2018,5,0.483870192816527,1.0,-0.8958928614544056,7
2019,5,-1.87671578342128,2.0,-0.8958928614544056,7
2020,5,-1.5308903335151,3.0,-0.8958928614544056,7
2021,5,-0.616343088337268,4.0,-0.8958928614544056,7
2022,5,-0.474585538750847,5.0,-0.8958928614544056,7
2023,5,-4.53050705920955,6.0,-0.8958928614544056,7
2024,5,-4.41310972973227,7.0,-0.8958928614544056,7
2018,6,0.164986523052445,1.0,-1.4014603548542395,7
2019,6,-2.51688728316673,2.0,-1.4014603548542395,7
2020,6,-2.26267663763147,3.0,-1.4014603548542395,7
2021,6,-0.410869782061391,4.0,-1.4014603548542395,7
2022,6,0.297134384697218,5.0,-1.4014603548542395,7
2023,6,-3.26967616823309,6.0,-1.4014603548542395,7
2024,6,-3.10109278921182,7.0,-1.4014603548542395,7
2018,7,-0.346303623499545,1.0,-0.5470175967475687,7
2019,7,-2.86730648496517,2.0,-0.5470175967475687,7
2020,7,-2.28051870165064,3.0,-0.5470175967475687,7
2021,7,-0.443342055930725,4.0,-0.5470175967475687,7
2022,7,0.0447042690898371,5.0,-0.5470175967475687,7
2023,7,-3.06613691822524,6.0,-0.5470175967475687,7
2024,7,-3.10871446612045,7.0,-0.5470175967475687,7
2018,8,-1.96475010694269,1.0,-0.5490525466145325,7
2019,8,-3.29425536079263,2.0,-0.5490525466145325,7
2020,8,-1.4244135663522,3.0,-0.5490525466145325,7
2021,8,0.250759510949325,4.0,-0.5490525466145325,7
2022,8,0.794263436582801,5.0,-0.5490525466145325,7
2023,8,-2.92629972942666,6.0,-0.5490525466145325,7
2024,8,-2.31939221131043,7.0,-0.5490525466145325,7
2018,9,-1.19985905295753,1.0,-1.7097767918021403,7
2019,9,-3.30568154633011,2.0,-1.7097767918021403,7
2020,9,-1.27746500850448,3.0,-1.7097767918021403,7
2021,9,0.286329116803583,4.0,-1.7097767918021403,7
2022,9,0.579691657941138,5.0,-1.7097767918021403,7
2023,9,-2.24008669497142,6.0,-1.7097767918021403,7
2024,9,-1.1781194254996,7.0,-1.7097767918021403,7
2018,10,0.323259167671997,1.0,-1.162284082283332,7
2019,10,-4.08944985733414,2.0,-1.162284082283332,7
2020,10,-0.525715635682895,3.0,-1.162284082283332,7
2021,10,0.680352697375432,4.0,-1.162284082283332,7
2022,10,1.70686705776565,5.0,-1.162284082283332,7
2023,10,-3.28501412049649,6.0,-1.162284082283332,7
2024,10,-2.07163138543782,7.0,-1.162284082283332,7
2018,11,-0.022530019553922,1.0,-0.7507144753286465,7
2019,11,-3.64420409311631,2.0,-0.7507144753286465,7
2020,11,-1.16703664604368,3.0,-0.7507144753286465,7
2021,11,0.0606514126501867,4.0,-0.7507144753286465,7
2022,11,0.428922014671995,5.0,-0.7507144753286465,7
2023,11,-3.11748363522541,6.0,-0.7507144753286465,7
2024,11,-2.93199100448358,7.0,-0.7507144753286465,7
2018,12,-0.559607046714886,1.0,-0.8356495022172447,7
2019,12,-3.16920421507096,2.0,-0.8356495022172447,7
2020,12,-2.20488542579234,3.0,-0.8356495022172447,7
2021,12,-0.774094052735583,4.0,-0.8356495022172447,7
2022,12,-0.907471773000918,5.0,-0.8356495022172447,7
2023,12,-3.52709249976169,6.0,-0.8356495022172447,7
2024,12,-2.82822580254518,7.0,-0.8356495022172447,7
2018,13,-1.34033961578527,1.0,-0.6659350268600395,7
2019,13,-2.69035062400281,2.0,-0.6659350268600395,7
2020,13,-2.07559353308366,3.0,-0.6659350268600395,7
2021,13,-1.11217357959603,4.0,-0.6659350268600395,7
2022,13,-1.17033444517711,5.0,-0.6659350268600395,7
2023,13,-4.1433521413288,6.0,-0.6659350268600395,7
2024,13,-1.92343456655394,7.0,-0.6659350268600395,7
2018,14,-3.39407991389329,1.0,-1.151285975212753,7
2019,14,-3.02663981101707,2.0,-1.151285975212753,7
2020,14,-4.640676874445,3.0,-1.151285975212753,7
2021,14,-2.4032108831935,4.0,-1.151285975212753,7
2022,14,-2.18309411499251,5.0,-1.151285975212753,7
2023,14,-3.02663981101707,6.0,-1.151285975212753,7
2024,14,-2.23454505626237,7.0,-1.151285975212753,7
2018,15,-0.669151675003729,1.0,-0.696998860516269,7
2019,15,-5.29831736654804,2.0,-0.696998860516269,7
2020,15,-0.445258077992355,3.0,-0.696998860516269,7
